Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,7.600000,8.850000,7.487500,8.762500,6.773108,82067200
1998-04-01,8.750000,9.650000,8.562500,9.650000,7.459117,83623600
1998-05-01,9.700000,9.875000,9.125000,9.362500,7.236888,52689600
1998-06-01,9.362500,10.300000,9.187500,10.000000,7.746628,62976400
1998-07-01,9.937500,11.225000,9.937500,10.400000,8.056489,50355400
1998-08-01,10.350000,10.500000,8.025000,8.350000,6.481810,59995200
1998-09-01,8.650000,10.400000,8.000000,8.400000,6.520621,84550400
1998-10-01,8.225000,9.475000,7.775000,9.150000,7.102821,93441600
1998-11-01,9.375000,10.675000,8.925000,9.975000,7.761975,57278000
1998-12-01,9.850000,11.275000,9.850000,11.000000,8.559571,53973200
1999-01-01,11.125000,11.875000,10.300000,11.250000,8.754107,53611200
1999-02-01,11.250000,11.500000,10.400000,11.075000,8.634267,47226800
1999-03-01,11.100000,11.125000,9.625000,9.925000,7.737708,49706400
1999-04-01,9.925000,11.675000,9.775000,11.300000,8.809681,70034600
1999-05-01,11.500000,11.725000,10.875000,11.500000,8.965604,38804200
1999-06-01,11.500000,12.250000,10.675000,11.250000,8.791863,44552000
1999-07-01,11.275000,11.500000,10.450000,10.925000,8.537876,52826400
1999-08-01,10.950000,12.050000,9.475000,11.625000,9.108872,56008200
1999-09-01,11.625000,12.500000,10.325000,12.175000,9.539831,67453600
1999-10-01,12.125000,13.000000,11.625000,12.975000,10.166677,60583000
1999-11-01,12.975000,15.125000,12.675000,14.600000,11.465701,80521000
1999-12-01,14.600000,16.049999,13.925000,14.825000,11.642396,52083400
2000-01-01,14.700000,16.100000,14.125000,14.650000,11.504967,55821200
2000-02-01,14.650000,15.825000,14.000000,14.550000,11.466734,51763200
2000-03-01,14.600000,18.799999,13.900000,18.225000,14.362968,110189400
2000-04-01,18.375000,20.500000,17.750000,19.900000,15.683023,64588600
2000-05-01,20.150000,21.549999,19.299999,19.575001,15.426894,73243000
2000-06-01,19.750000,20.775000,18.450001,20.100000,15.894145,60194200
2000-07-01,20.400000,24.500000,20.174999,22.350000,17.673346,64515100
2000-08-01,22.600000,26.700001,22.549999,24.299999,19.245384,77890300
2000-09-01,24.750000,26.049999,23.700001,26.000000,20.591764,51757300
2000-10-01,26.000000,26.250000,22.400000,23.950001,18.968185,62648500
2000-11-01,24.000000,25.799999,20.850000,22.299999,17.686773,58149200
2000-12-01,22.450001,25.700001,21.799999,23.150000,18.360931,58724600
2001-01-01,23.400000,24.840000,20.850000,24.540001,19.463385,79531800
2001-02-01,24.350000,24.350000,19.750000,21.940001,17.426899,57864900
2001-03-01,21.799999,22.480000,18.799999,21.799999,17.315701,92553900
2001-04-01,22.200001,23.000000,20.750000,22.150000,17.593702,55905800
2001-05-01,22.400000,24.100000,21.260000,23.709999,18.832808,51814800
2001-06-01,23.719999,24.650000,22.209999,22.799999,18.147034,50250900
2001-07-01,22.900000,24.370001,22.160000,22.350000,17.788864,40605900
2001-08-01,22.350000,22.400000,19.209999,20.000000,15.949249,57645800
2001-09-01,20.299999,20.850000,10.520000,11.600000,9.250566,128583400
2001-10-01,11.600000,13.300000,9.190000,10.300000,8.213863,107388000
2001-11-01,10.780000,14.650000,9.830000,14.000000,11.204018,163271500
2001-12-01,14.000000,16.650000,13.270000,16.500000,13.204737,81123900
2002-01-01,16.690001,17.389999,13.800000,14.700000,11.764219,87781500
2002-02-01,14.650000,15.350000,12.650000,14.150000,11.359311,67643500
2002-03-01,14.300000,15.670000,13.310000,14.350000,11.519872,80119800
2002-04-01,14.210000,15.240000,13.000000,13.500000,10.837510,67893600
2002-05-01,13.500000,15.050000,13.200000,13.970000,11.214816,46956100
2002-06-01,14.000000,14.290000,12.370000,12.600000,10.146518,57474600
2002-07-01,12.600000,12.740000,9.920000,11.980000,9.647244,94428200
2002-08-01,11.800000,11.940000,6.270000,6.700000,5.417273,152319200
2002-09-01,6.750000,6.790000,3.750000,4.360000,3.525272,221907600
2002-10-01,4.440000,6.050000,3.130000,5.190000,4.196365,193454600
2002-11-01,5.220000,6.030000,5.120000,5.640000,4.610203,97029600
2002-12-01,5.700000,6.000000,4.460000,5.320000,4.348631,130523000
2003-01-01,5.450000,6.770000,5.090000,5.120000,4.185149,135447700
2003-02-01,5.160000,5.540000,4.690000,4.750000,3.909000,72720100
2003-03-01,4.840000,4.930000,2.560000,3.100000,2.551137,147909500
2003-04-01,3.200000,3.740000,3.140000,3.470000,2.855627,280501100
2003-05-01,3.470000,4.130000,3.380000,3.830000,3.151887,194039000
2003-06-01,3.910000,4.750000,3.770000,4.570000,3.783832,168663400
2003-07-01,4.600000,5.490000,4.450000,5.150000,4.264055,216613900
2003-08-01,5.080000,5.530000,4.800000,5.310000,4.416646,126088800
2003-09-01,5.400000,6.050000,5.330000,5.670000,4.716079,167461400
