Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,4.650000,5.100000,4.500000,4.700000,4.000650,96800
1998-04-01,4.800000,4.800000,4.450000,4.500000,3.830410,304400
1998-05-01,4.510000,5.350000,4.510000,4.800000,4.085771,192100
1998-06-01,4.900000,4.900000,4.350000,4.550000,3.872970,102400
1998-07-01,4.500000,4.650000,4.250000,4.300000,3.660169,49800
1998-08-01,4.300000,4.400000,2.600000,2.810000,2.391878,635100
1998-09-01,2.950000,4.150000,2.900000,3.650000,3.106888,90800
1998-10-01,3.650000,3.900000,3.100000,3.650000,3.106888,64100
1998-11-01,3.700000,4.450000,3.500000,4.400000,3.745289,129600
1998-12-01,4.450000,4.640000,3.350000,4.300000,3.660169,108100
1999-01-01,4.400000,4.500000,4.020000,4.350000,3.702729,94000
1999-02-01,4.470000,4.470000,4.000000,4.010000,3.413321,68300
1999-03-01,4.010000,4.400000,3.900000,4.250000,3.617609,78200
1999-04-01,4.250000,4.350000,4.000000,4.250000,3.617609,86400
1999-05-01,4.300000,4.300000,3.500000,3.900000,3.319688,95600
1999-06-01,3.800000,4.250000,3.700000,4.050000,3.447369,75600
1999-07-01,3.950000,4.100000,3.750000,3.950000,3.362248,44600
1999-08-01,3.800000,4.000000,3.600000,3.650000,3.106888,61700
1999-09-01,3.600000,3.750000,3.350000,3.350000,2.851527,68100
1999-10-01,3.400000,3.800000,3.160000,3.310000,2.817479,79200
1999-11-01,3.300000,3.900000,3.050000,3.650000,3.106888,124600
1999-12-01,3.690000,3.900000,3.300000,3.600000,3.064328,106600
2000-01-01,3.450000,4.500000,3.450000,4.000000,3.404808,143200
2000-02-01,3.750000,4.200000,3.450000,3.950000,3.362248,276200
2000-03-01,4.050000,4.150000,3.550000,3.750000,3.192008,121900
2000-04-01,3.600000,3.650000,3.150000,3.350000,2.851527,55700
2000-05-01,3.350000,3.750000,3.100000,3.300000,2.808967,61200
2000-06-01,3.300000,3.450000,3.050000,3.300000,2.808967,64400
