Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,38.025002,40.424999,37.250000,38.250000,15.290195,28952000
1998-04-01,38.299999,43.500000,37.299999,39.000000,15.589995,39053200
1998-05-01,39.424999,41.500000,37.924999,40.924999,16.359497,19515600
1998-06-01,40.000000,41.924999,38.849998,40.500000,16.374716,21819000
1998-07-01,40.750000,42.400002,36.799999,36.825001,14.888852,18562800
1998-08-01,36.875000,36.875000,26.900000,27.575001,11.148948,40816000
1998-09-01,28.025000,31.650000,26.000000,27.500000,11.256788,45812800
1998-10-01,26.875000,31.600000,25.875000,31.549999,12.914607,39971800
1998-11-01,31.875000,34.799999,27.900000,32.250000,13.201139,32107400
1998-12-01,32.000000,33.474998,29.799999,30.850000,12.804125,30191600
1999-01-01,30.750000,34.700001,30.750000,33.375000,13.852117,26860200
1999-02-01,33.500000,34.099998,30.549999,31.125000,12.918257,21210600
1999-03-01,31.000000,32.450001,30.150000,30.275000,12.745636,23495400
1999-04-01,30.400000,34.500000,30.350000,30.400000,12.798264,29918200
1999-05-01,30.500000,30.650000,27.750000,28.424999,11.966793,22216600
1999-06-01,28.424999,28.600000,26.275000,26.750000,11.440565,26660600
1999-07-01,27.000000,28.950001,26.950001,27.450001,11.739945,16476200
1999-08-01,27.500000,27.775000,25.049999,26.250000,11.226721,21086400
1999-09-01,26.250000,27.100000,24.674999,25.549999,11.118237,19692800
1999-10-01,25.325001,28.350000,25.025000,28.325001,12.325794,19647200
1999-11-01,28.125000,29.000000,25.650000,26.549999,11.553385,29297000
1999-12-01,26.500000,26.549999,24.424999,24.650000,10.910553,31897400
2000-01-01,24.350000,24.475000,21.000000,24.075001,10.656050,40900000
2000-02-01,24.150000,24.900000,21.950001,22.200001,9.826140,28759600
2000-03-01,22.500000,26.174999,21.575001,25.500000,11.520223,46352800
2000-04-01,25.700001,28.400000,25.424999,26.875000,12.141407,38383600
2000-05-01,26.950001,30.500000,26.625000,30.250000,13.666144,34122800
2000-06-01,30.250000,32.900002,30.250000,31.250000,14.379362,34048200
2000-07-01,31.325001,33.150002,31.325001,31.875000,14.666947,26665000
2000-08-01,31.750000,33.974998,29.900000,30.200001,13.896211,34101000
2000-09-01,30.225000,34.200001,30.200001,34.150002,15.964786,31368800
2000-10-01,34.099998,35.799999,31.375000,35.250000,16.479031,34958600
2000-11-01,34.849998,36.474998,33.400002,35.950001,16.806273,33779000
2000-12-01,35.400002,40.000000,35.400002,39.299999,18.636705,38239200
2001-01-01,39.049999,41.700001,37.125000,40.884998,19.388342,29166400
2001-02-01,41.049999,44.400002,37.974998,38.250000,18.386444,37495200
2001-03-01,38.230000,40.599998,35.810001,39.540001,19.006533,38372300
2001-04-01,39.500000,39.980000,35.000000,35.200001,16.920330,40317000
2001-05-01,35.099998,39.299999,34.200001,39.000000,18.746956,31278400
2001-06-01,38.799999,43.250000,38.450001,39.099998,18.945507,33012600
2001-07-01,39.099998,41.980000,37.500000,40.849998,19.793465,20311200
2001-08-01,41.000000,44.099998,39.910000,41.549999,20.132643,25769100
2001-09-01,41.299999,42.740002,35.299999,39.290001,19.168972,26609700
2001-10-01,39.250000,39.650002,32.750000,33.860001,16.519754,36861500
2001-11-01,34.049999,37.000000,33.799999,34.549999,17.000427,32910000
2001-12-01,34.480000,37.700001,33.470001,35.900002,17.664694,32587900
2002-01-01,36.250000,37.250000,34.580002,36.000000,17.713903,32432900
2002-02-01,36.180000,36.389999,34.049999,36.009998,17.867720,26978000
2002-03-01,36.340000,39.110001,35.750000,38.619999,19.162771,29254100
2002-04-01,38.549999,39.599998,35.880001,37.680000,18.696356,34569100
2002-05-01,37.400002,38.130001,36.009998,38.000000,18.855131,23273400
2002-06-01,37.630001,37.970001,34.669998,35.650002,17.831064,23969700
2002-07-01,35.500000,35.830002,31.000000,35.259998,17.635992,24209900
2002-08-01,34.799999,37.599998,34.150002,37.400002,18.869734,26527600
2002-09-01,37.150002,38.000000,33.900002,36.889999,18.612423,27399700
2002-10-01,36.549999,40.650002,33.779999,38.099998,19.222904,47125800
2002-11-01,37.950001,41.049999,37.790001,40.000000,20.337498,26582400
2002-12-01,40.360001,42.230000,39.349998,41.689999,21.196754,24709200
2003-01-01,41.680000,43.400002,40.240002,41.299999,20.998465,41798400
2003-02-01,41.250000,43.389999,39.299999,42.000000,21.354378,19658800
2003-03-01,42.450001,42.709999,39.750000,40.119999,20.568544,22295400
2003-04-01,40.330002,41.200001,39.750000,40.099998,20.558281,24601300
2003-05-01,40.230000,41.349998,39.439999,40.209999,20.614674,22623200
2003-06-01,40.070000,43.250000,40.009998,42.549999,21.995449,28686400
2003-07-01,42.400002,45.000000,42.330002,44.650002,23.081003,25310600
2003-08-01,44.250000,46.950001,41.880001,46.500000,24.037327,23166100
2003-09-01,46.560001,47.169998,45.529999,46.689999,24.315235,19729500
2003-10-01,46.750000,50.259998,46.700001,49.330002,25.690107,26087300
2003-11-01,49.330002,53.880001,49.279999,53.430000,27.825306,21032700
2003-12-01,53.509998,54.990002,52.340000,53.500000,28.052750,34468700
2004-01-01,53.750000,59.650002,53.400002,57.790001,30.302229,31338300
2004-02-01,57.750000,58.740002,53.320000,54.360001,28.503683,26718200
2004-03-01,54.500000,55.049999,51.599998,54.230000,28.606644,24198300
2004-04-01,54.400002,56.500000,50.880001,51.900002,27.377562,20944300
2004-05-01,52.200001,53.740002,49.500000,53.740002,28.348177,20484100
2004-06-01,53.349998,54.150002,52.520000,53.369999,28.366539,18843600
2004-07-01,53.049999,55.500000,52.799999,55.400002,29.445509,15734200
2004-08-01,55.400002,55.549999,52.049999,54.279999,28.850216,18203800
2004-09-01,54.070000,56.070000,53.400002,55.299999,29.605558,20277000
2004-10-01,55.200001,59.630001,55.200001,57.549999,30.810118,23400400
2004-11-01,57.750000,58.889999,54.380001,55.110001,29.503826,29941400
2004-12-01,55.160000,57.919998,54.849998,57.759998,31.161558,22562200
2005-01-01,57.599998,58.090000,54.750000,55.279999,29.823605,27078600
2005-02-01,55.299999,56.959999,53.259998,54.709999,29.516094,26867900
2005-03-01,55.139999,56.400002,53.049999,56.180000,30.553150,34161800
