Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,5.500000,5.850000,5.450000,5.675000,3.380751,22528200
1998-04-01,5.550000,6.500000,5.550000,6.200000,3.924457,33052200
1998-05-01,6.250000,6.825000,6.050000,6.075000,3.845333,10668800
1998-06-01,6.050000,6.250000,5.675000,6.225000,3.940280,11971400
1998-07-01,6.200000,6.425000,5.750000,5.750000,3.832952,12559800
1998-08-01,5.800000,5.825000,4.425000,4.450000,2.966373,10714000
1998-09-01,4.625000,4.750000,4.150000,4.500000,2.999702,8014200
1998-10-01,4.325000,5.050000,4.100000,4.700000,3.147577,9698200
1998-11-01,4.750000,4.850000,4.025000,4.425000,2.963411,12722000
1998-12-01,4.400000,4.475000,3.975000,4.075000,2.775766,8349600
1999-01-01,4.125000,4.525000,4.000000,4.125000,2.866806,11862400
1999-02-01,4.000000,4.475000,3.900000,4.325000,3.005802,13227200
1999-03-01,4.250000,4.500000,4.050000,4.100000,2.849431,11358600
1999-04-01,4.125000,4.725000,3.900000,4.625000,3.275595,22638800
1999-05-01,4.600000,4.600000,4.150000,4.300000,3.045417,11105000
1999-06-01,4.275000,4.625000,4.150000,4.400000,3.116242,13801800
1999-07-01,4.425000,4.875000,4.400000,4.650000,3.357247,17245200
1999-08-01,4.675000,4.775000,4.350000,4.450000,3.212849,14752400
1999-09-01,4.450000,4.450000,4.000000,4.100000,2.960155,11133000
1999-10-01,4.100000,4.150000,3.900000,4.125000,3.013448,19424600
1999-11-01,3.950000,4.600000,3.650000,4.550000,3.323925,21030000
1999-12-01,4.650000,5.300000,4.600000,4.950000,3.616138,14970600
2000-01-01,4.950000,5.950000,4.825000,5.125000,3.781053,16405800
2000-02-01,5.150000,7.475000,5.150000,7.150000,5.275028,28948000
2000-03-01,7.100000,8.500000,6.475000,6.675000,4.924589,17585400
2000-04-01,6.750000,7.250000,6.375000,6.950000,5.163206,7722000
2000-05-01,6.950000,7.175000,6.475000,6.500000,4.828898,8816800
2000-06-01,6.525000,7.875000,6.525000,7.500000,5.571804,17459800
2000-07-01,7.625000,8.750000,7.500000,8.300000,6.207102,11023000
2000-08-01,8.300000,9.900000,8.300000,9.675000,7.235386,37135800
2000-09-01,9.675000,10.375000,9.400000,9.575000,7.160602,13556800
2000-10-01,9.575000,9.975000,8.875000,9.700000,7.291865,11334400
2000-11-01,9.850000,11.850000,9.850000,10.725000,8.062397,30107000
2000-12-01,10.775000,12.650000,10.625000,12.200000,9.171206,20807600
2001-01-01,12.125000,12.300000,9.950000,10.350000,7.811740,16007200
2001-02-01,10.380000,12.125000,10.380000,12.000000,9.057091,12961000
2001-03-01,12.000000,12.975000,11.250000,11.875000,8.962747,17231400
2001-04-01,11.875000,13.075000,11.700000,12.575000,9.528563,12144800
2001-05-01,12.675000,14.045000,11.925000,13.550000,10.267356,16065400
2001-06-01,13.545000,15.300000,13.475000,14.750000,11.176642,12908800
2001-07-01,14.800000,15.450000,13.760000,14.800000,11.254004,14312500
2001-08-01,14.950000,14.950000,11.610000,12.650000,9.619131,20255700
2001-09-01,12.850000,13.050000,7.800000,9.740000,7.406351,31566900
2001-10-01,9.800000,9.800000,7.350000,7.670000,5.832313,29270700
2001-11-01,7.850000,11.850000,7.410000,11.450000,8.706644,43513700
2001-12-01,11.500000,11.690000,10.500000,11.570000,8.797893,22846100
2002-01-01,11.650000,12.100000,9.620000,10.980000,8.371881,23327500
2002-02-01,11.000000,11.290000,9.300000,10.100000,7.700910,20190400
2002-03-01,10.200000,11.900000,9.930000,11.720000,8.936108,21548600
2002-04-01,11.650000,12.350000,11.280000,11.900000,9.099985,20143300
2002-05-01,11.900000,14.630000,11.620000,13.900000,10.629392,26511400
2002-06-01,13.860000,14.100000,12.040000,12.450000,9.520569,10977700
2002-07-01,12.490000,12.600000,9.620000,10.300000,7.894254,21365100
2002-08-01,10.300000,10.300000,5.430000,6.720000,5.150422,59815300
2002-09-01,6.710000,6.710000,4.170000,4.560000,3.494930,43023000
2002-10-01,4.640000,5.650000,3.250000,5.350000,4.121051,48868300
2002-11-01,5.300000,6.050000,5.100000,5.600000,4.313624,16125800
2002-12-01,5.840000,5.940000,4.870000,5.170000,3.982400,14386300
2003-01-01,5.220000,6.400000,5.000000,5.080000,3.936090,22609700
2003-02-01,5.090000,5.120000,4.510000,4.700000,3.641658,14675400
2003-03-01,4.790000,4.790000,2.760000,3.050000,2.363204,53078000
2003-04-01,3.100000,3.920000,3.090000,3.490000,2.724663,27062400
2003-05-01,3.520000,5.000000,3.510000,4.600000,3.591247,27344500
2003-06-01,4.680000,5.810000,4.670000,5.730000,4.473444,21616200
2003-07-01,5.890000,6.440000,5.830000,6.150000,4.828263,27356800
2003-08-01,6.140000,6.220000,5.110000,6.050000,4.749756,15768500
2003-09-01,6.020000,6.790000,5.010000,5.070000,3.980372,35664500
2003-10-01,5.060000,5.690000,5.050000,5.360000,4.227175,17497600
2003-11-01,5.360000,6.070000,5.250000,5.480000,4.321815,36954700
2003-12-01,5.480000,5.950000,5.350000,5.860000,4.621500,19085400
2004-01-01,5.880000,6.350000,5.550000,5.880000,4.662755,29867500
2004-02-01,5.900000,6.770000,5.850000,6.400000,5.075107,30810800
2004-03-01,6.450000,6.540000,5.560000,5.710000,4.527947,35900000
2004-04-01,5.750000,6.240000,5.560000,5.700000,4.541818,19833200
2004-05-01,5.800000,5.890000,5.160000,5.550000,4.422295,17600500
2004-06-01,5.580000,6.180000,5.330000,6.030000,4.804766,14849600
2004-07-01,5.950000,6.390000,5.740000,6.350000,5.086467,13068600
2004-08-01,6.380000,6.550000,5.260000,5.750000,4.605857,16955000
2004-09-01,5.750000,5.850000,5.480000,5.500000,4.405602,12972200
2004-10-01,5.500000,5.710000,4.660000,4.990000,4.018610,15202900
2004-11-01,4.990000,5.070000,4.400000,4.400000,3.543465,18024100
2004-12-01,4.410000,5.100000,4.410000,5.050000,4.066931,14672800
2005-01-01,5.040000,5.220000,4.670000,4.960000,4.021200,33999000
2005-02-01,4.950000,5.880000,4.900000,5.650000,4.580601,36655500
2005-03-01,5.700000,6.040000,5.220000,5.980000,4.848140,16871200
2005-04-01,5.900000,6.100000,5.630000,5.930000,4.816589,13012100
2005-05-01,5.840000,6.250000,5.470000,5.850000,4.751610,17537300
2005-06-01,5.850000,6.660000,5.850000,6.570000,5.336424,14945600
2005-07-01,6.570000,7.300000,6.340000,7.000000,5.695212,14412300
2005-08-01,7.000000,8.300000,6.790000,8.300000,6.752895,27812100
2005-09-01,8.210000,8.510000,7.820000,7.820000,6.362361,17668400
2005-10-01,7.820000,8.150000,7.300000,8.060000,6.565455,18005800
2005-11-01,8.090000,8.350000,7.640000,8.180000,6.663204,13705400
2005-12-01,8.200000,9.050000,7.880000,8.520000,6.940160,24323000
2006-01-01,8.570000,9.810000,8.270000,9.500000,7.747345,17041400
2006-02-01,9.500000,9.740000,8.930000,9.440000,7.698411,23127400
2006-03-01,9.420000,9.820000,8.940000,9.180000,7.486380,32351000
2006-04-01,9.170000,9.650000,9.130000,9.200000,7.510696,15477300
2006-05-01,9.240000,9.760000,9.000000,9.110000,7.437222,16172300
2006-06-01,9.050000,9.230000,8.090000,8.500000,6.939231,20578600
2006-07-01,8.620000,8.990000,8.280000,8.650000,7.070013,16684400
2006-08-01,8.600000,9.680000,8.520000,9.470000,7.740236,14378800
2006-09-01,9.510000,9.670000,9.130000,9.530000,7.789277,8303900
2006-10-01,9.450000,10.450000,9.400000,9.980000,8.165938,23199300
2006-11-01,9.980000,10.640000,9.770000,10.390000,8.501412,19367500
2006-12-01,10.450000,10.900000,10.080000,10.750000,8.795980,15232300
2007-01-01,10.710000,12.080000,10.550000,11.630000,9.524987,22496400
2007-02-01,11.650000,12.690000,11.350000,12.170000,9.967246,19015100
2007-03-01,12.150000,13.350000,11.430000,13.010000,10.655215,19638400
2007-04-01,13.030000,13.880000,12.860000,12.890000,10.565572,13874600
2007-05-01,12.890000,14.200000,12.520000,13.840000,11.344257,16488300
2007-06-01,13.900000,14.850000,13.410000,14.200000,11.639342,26371300
2007-07-01,14.450000,15.250000,13.720000,13.770000,11.294968,16492100
2007-08-01,13.610000,14.100000,12.030000,13.650000,11.196535,20380300
2007-09-01,13.770000,13.860000,12.880000,13.390000,10.983267,14015300
2007-10-01,13.330000,13.590000,12.350000,12.740000,10.458024,28171400
2007-11-01,12.600000,12.770000,11.030000,11.780000,9.669977,27101600
2007-12-01,11.920000,13.440000,11.500000,13.310000,10.925922,14366200
2008-01-01,13.200000,13.270000,9.920000,11.280000,9.266796,13154300
2008-02-01,11.180000,12.910000,11.130000,12.400000,10.186906,12752100
2008-03-01,12.330000,12.400000,10.940000,11.630000,9.554331,11954900
2008-04-01,11.780000,12.940000,11.400000,11.560000,9.504853,19101200
2008-05-01,11.570000,13.500000,11.550000,13.160000,10.820404,19404600
2008-06-01,13.160000,13.950000,11.370000,11.520000,9.471966,41568300
