Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,7.441670,7.733330,7.225000,7.595830,2.595871,48319200
1998-04-01,7.583330,8.000000,7.512500,7.754170,2.748522,41154000
1998-05-01,7.750000,7.800000,7.175000,7.183330,2.546183,38541600
1998-06-01,7.116670,7.204170,6.216670,6.516670,2.309881,63208800
1998-07-01,6.475000,7.270830,6.466670,6.645830,2.453049,63493200
1998-08-01,6.666670,6.854170,5.891670,5.900000,2.177756,36241200
1998-09-01,5.833330,5.987500,5.291670,5.729170,2.114700,58927200
1998-10-01,5.708330,6.583330,5.312500,6.420830,2.481537,35937600
1998-11-01,6.500000,7.062500,6.416670,6.875000,2.657065,44360400
1998-12-01,6.862500,7.058330,6.487500,6.645830,2.568495,35226000
1999-01-01,6.666670,6.958330,6.308330,6.675000,2.683523,30951600
1999-02-01,6.666670,6.854170,6.033330,6.066670,2.438956,67095600
1999-03-01,6.075000,7.291670,5.708330,7.008330,2.817528,65992800
1999-04-01,6.950000,7.895830,6.779170,7.666670,3.251343,60222000
1999-05-01,7.666670,8.416670,7.250000,7.916670,3.357365,42740400
1999-06-01,7.966670,8.375000,7.541670,8.241670,3.495194,47500800
1999-07-01,8.208330,9.095830,8.145830,8.437500,3.719180,37912800
1999-08-01,8.541670,8.879170,7.875000,7.904170,3.484091,30536400
1999-09-01,7.916670,8.041670,6.800000,7.433330,3.276551,43645200
1999-10-01,7.433330,7.583330,6.783330,7.441670,3.409074,37740800
1999-11-01,7.466670,8.416670,7.266670,7.266670,3.328906,39306400
1999-12-01,7.250000,8.083330,6.250000,6.366670,2.916609,92922400
2000-01-01,6.275000,6.933330,5.541670,5.866670,2.743303,81794800
2000-02-01,6.000000,6.291670,5.608330,5.641670,2.638090,63247600
2000-03-01,5.716670,7.083330,5.633330,6.375000,2.981002,97278400
2000-04-01,6.375000,7.483330,6.333330,6.891670,3.323759,43474800
2000-05-01,6.875000,7.500000,6.683330,6.791670,3.275529,46280800
2000-06-01,6.733330,7.300000,6.500000,7.183330,3.464422,46880000
2000-07-01,7.250000,8.125000,7.066670,7.666670,3.793748,57920000
2000-08-01,7.666670,8.075000,7.016670,7.125000,3.525709,42801200
2000-09-01,7.166670,7.500000,7.091670,7.366670,3.645298,34272800
2000-10-01,7.291670,8.125000,6.758330,8.000000,3.958691,63469600
2000-11-01,8.000000,8.283330,7.608330,8.033330,3.975186,66360000
2000-12-01,8.058330,8.200000,6.925000,7.391670,3.657669,53783200
2001-01-01,7.333330,9.333330,7.083330,9.290000,4.697801,82909200
2001-02-01,9.250000,9.883330,9.166670,9.626670,4.868051,80846800
2001-03-01,9.666670,10.325000,8.896670,9.906670,5.009641,65537200
2001-04-01,9.958330,10.495000,9.350000,10.166670,5.251107,41602000
2001-05-01,10.083330,10.743330,9.751670,10.278330,5.308776,56243600
2001-06-01,10.333330,10.916670,9.633330,10.236670,5.287260,77116400
2001-07-01,10.250000,11.716670,10.016670,11.666670,6.136833,52546000
2001-08-01,11.733330,11.891670,11.116670,11.231670,5.908016,38748800
2001-09-01,11.230000,11.331670,8.500000,10.028330,5.275043,60622000
2001-10-01,9.833330,10.666670,9.343330,10.600000,5.673971,60668400
2001-11-01,10.600000,11.953330,10.583330,11.708330,6.267236,57935200
2001-12-01,11.665000,13.125000,11.316670,12.783330,6.842661,41873200
2002-01-01,12.758330,13.133330,11.641670,12.941670,7.047441,63014800
2002-02-01,12.843330,13.588330,12.446670,13.456670,7.327881,48443200
2002-03-01,13.408330,14.255000,12.720000,13.260000,7.220788,57426800
2002-04-01,13.133330,13.503330,12.073330,12.400000,6.859783,118397200
2002-05-01,12.466670,13.270000,12.218330,12.711670,7.032202,60222800
2002-06-01,12.708330,13.388330,12.400000,13.340000,7.379800,53084800
2002-07-01,13.340000,13.340000,11.341670,12.680000,7.137131,68422400
2002-08-01,12.680000,12.833330,11.183330,11.335000,6.380075,66385600
2002-09-01,11.251670,11.316670,9.633330,9.883330,5.562982,94894400
2002-10-01,9.935000,11.583330,9.546670,11.030000,6.331388,87422800
2002-11-01,11.030000,11.725000,10.301670,10.720000,6.153445,49429600
2002-12-01,10.750000,11.821670,10.511670,10.878330,6.244328,63704800
2003-01-01,10.965000,11.333330,10.008330,10.416670,6.094452,86231200
2003-02-01,10.416670,10.791670,10.101670,10.505000,6.146131,47787200
2003-03-01,10.503330,10.866670,9.851670,10.458330,6.118827,66186400
2003-04-01,10.550000,11.643330,10.386670,11.608330,6.963298,53462000
2003-05-01,11.583330,11.791670,10.980000,11.490000,6.892318,44802000
2003-06-01,11.450000,11.873330,10.658330,10.846670,6.506413,55409200
2003-07-01,10.833330,12.261670,10.721670,12.191670,7.470504,49631600
2003-08-01,12.128330,12.495000,11.743330,12.363330,7.601921,47343600
2003-09-01,12.341670,12.633330,11.531670,11.630000,7.151016,44761200
2003-10-01,11.666670,13.475000,11.635000,13.208330,8.288045,51495200
2003-11-01,13.208330,13.450000,12.585000,12.751670,8.001500,50777600
2003-12-01,12.908330,13.835000,12.708330,13.666670,8.575648,62002800
2004-01-01,13.668330,13.908330,13.166670,13.223330,8.460488,59833600
2004-02-01,13.393330,13.780000,12.800000,13.167500,8.424769,51074000
2004-03-01,13.250000,13.397500,12.417500,12.810000,8.221684,56930400
2004-04-01,12.987500,13.935000,12.550000,12.925000,8.421448,45654000
2004-05-01,13.112500,13.522500,12.670000,13.500000,8.796097,36997600
2004-06-01,13.387500,14.525000,13.297500,14.440000,9.408566,53451600
2004-07-01,14.375000,14.985000,13.575000,14.905000,9.849344,45590400
2004-08-01,14.902500,15.087500,14.525000,14.997500,9.910469,39105200
2004-09-01,14.972500,15.500000,14.730000,15.455000,10.212790,40910000
2004-10-01,15.475000,16.662500,15.287500,16.397499,10.979541,41869600
2004-11-01,16.337500,17.275000,16.075001,17.187500,11.508508,61760400
2004-12-01,17.247499,19.022499,17.212500,18.267500,12.231659,51792400
2005-01-01,18.267500,18.712500,16.702499,18.424999,12.475386,70594800
2005-02-01,18.462500,19.625000,17.987499,19.122499,12.947654,53207600
2005-03-01,19.250000,19.600000,18.219999,19.087500,12.923953,56105600
2005-04-01,19.365000,19.500000,17.612499,18.062500,12.390517,56251200
2005-05-01,18.062500,19.379999,17.879999,19.200001,13.170821,54212800
