Date,Open,High,Low,Close,Adj Close,Volume
2009-10-01,9.225000,10.045000,8.975000,9.650000,9.018487,21733600
2009-11-01,9.500000,10.750000,9.395000,10.150000,9.485768,4751000
2009-12-01,10.130000,12.035000,10.000000,11.175000,10.443691,5477200
2010-01-01,11.300000,11.375000,10.045000,10.125000,9.462405,4481400
2010-02-01,10.185000,10.825000,10.150000,10.740000,10.037159,5453600
2010-03-01,10.795000,11.110000,10.550000,10.975000,10.256781,7859800
2010-04-01,11.125000,12.775000,10.995000,12.490000,11.672635,13400600
2010-05-01,12.400000,12.500000,11.390000,12.200000,11.401613,4828400
2010-06-01,12.225000,12.915000,12.165000,12.375000,11.565161,3527800
2010-07-01,12.395000,12.875000,11.960000,12.830000,11.990386,4105400
2010-08-01,12.875000,13.020000,12.460000,12.650000,11.822164,1943600
2010-09-01,12.735000,14.000000,12.530000,13.525000,12.639902,3220000
2010-10-01,13.600000,13.900000,13.035000,13.440000,12.560469,4447400
2010-11-01,13.350000,14.685000,13.250000,14.665000,13.705300,4633400
2010-12-01,14.625000,15.050000,14.050000,14.395000,13.452972,15837600
2011-01-01,14.425000,14.500000,13.785000,14.275000,13.340821,6366600
2011-02-01,14.325000,15.300000,14.145000,14.555000,13.602501,9056000
2011-03-01,14.555000,14.930000,13.705000,14.860000,13.887541,6778400
2011-04-01,14.910000,15.625000,14.600000,14.825000,13.854829,6308800
2011-05-01,14.865000,16.049999,14.780000,15.700000,14.672570,9352800
2011-06-01,15.675000,16.655001,15.400000,16.334999,15.266013,18011800
2011-07-01,16.495001,16.670000,15.850000,15.980000,15.015704,6064000
2011-08-01,15.985000,16.635000,14.550000,16.375000,15.386868,3991000
2011-09-01,16.459999,18.795000,16.315001,18.150000,17.054760,11381600
2011-10-01,18.150000,19.205000,18.059999,18.760000,17.627953,5349200
2011-11-01,18.535000,19.995001,18.344999,19.959999,18.849001,4037600
2011-12-01,19.754999,22.740000,19.754999,22.250000,21.011543,5162600
2012-01-01,22.370001,22.639999,21.010000,21.625000,20.421326,4935600
2012-02-01,21.660000,22.379999,20.875000,21.495001,20.381004,6504600
2012-03-01,21.620001,23.705000,20.750000,23.260000,22.054531,5241200
2012-04-01,23.299999,27.795000,23.250000,27.490000,26.065308,11847600
2012-05-01,27.344999,28.875000,26.754999,28.594999,27.223955,6330200
2012-06-01,28.254999,31.875000,27.799999,30.590000,29.123295,5999200
2012-07-01,30.705000,32.395000,30.405001,31.250000,29.751654,4127600
2012-08-01,31.240000,31.825001,29.209999,29.650000,28.330246,7036800
2012-09-01,29.555000,31.469999,28.879999,31.375000,29.978458,10501200
2012-10-01,31.370001,32.480000,30.195000,31.545000,30.140894,10799200
2012-11-01,31.545000,33.150002,30.930000,31.725000,30.419786,18079800
2012-12-01,31.750000,31.750000,27.995001,29.485001,28.271946,18075200
2013-01-01,29.790001,30.500000,28.555000,30.340000,29.091770,11463600
2013-02-01,30.235001,31.360001,29.125000,30.299999,29.162207,8438600
2013-03-01,30.145000,32.825001,29.825001,32.615002,31.390284,9946600
2013-04-01,32.744999,37.125000,31.480000,36.900002,35.514374,11825800
2013-05-01,37.200001,38.305000,35.750000,36.365002,35.135551,6896600
2013-06-01,36.494999,37.555000,33.775002,36.805000,35.560677,11416200
2013-07-01,37.470001,38.450001,36.310001,37.064999,35.811886,6532000
2013-08-01,37.244999,39.215000,36.849998,37.174999,36.052963,7757200
2013-09-01,37.255001,42.900002,36.695000,41.855000,40.591717,9858400
2013-10-01,42.090000,45.180000,41.365002,44.810001,43.602341,7106600
2013-11-01,45.000000,45.369999,42.834999,42.849998,41.695164,4691600
2013-12-01,43.080002,44.450001,39.500000,44.105000,42.916348,8177600
2014-01-01,43.950001,44.125000,40.849998,42.000000,40.868076,10615200
2014-02-01,42.000000,43.305000,40.049999,43.174999,42.147648,6753400
2014-03-01,43.025002,44.279999,41.904999,42.110001,41.107998,5547400
2014-04-01,42.005001,47.125000,42.005001,45.580002,44.495426,6541000
2014-05-01,45.625000,46.369999,44.895000,45.735001,44.805077,3747800
2014-06-01,45.654999,48.334999,43.689999,43.924999,43.031879,7377600
2014-07-01,44.185001,45.935001,44.119999,44.875000,43.962566,6563400
2014-08-01,44.875000,47.860001,44.480000,46.285000,45.509670,5214600
2014-09-01,46.505001,47.750000,46.110001,47.500000,46.704311,6030600
2014-10-01,47.599998,50.334999,47.139999,49.509998,48.845173,6988000
2014-11-01,49.535000,54.470001,49.535000,53.580002,52.860527,4830300
2014-12-01,53.980000,59.889999,51.799999,59.400002,58.602371,8354400
2015-01-01,59.400002,61.590000,56.560001,60.349998,59.539608,6807600
2015-02-01,60.500000,63.900002,59.549999,62.520000,61.763515,5586700
2015-03-01,62.799999,71.449997,61.779999,70.800003,69.943321,6943600
2015-04-01,70.790001,74.480003,68.050003,69.279999,68.441719,6525200
2015-05-01,69.129997,72.320000,68.169998,68.879997,68.134636,5463500
2015-06-01,68.279999,77.089996,68.269997,75.699997,74.880836,6769300
2015-07-01,76.370003,80.879997,74.629997,77.849998,77.007561,6385400
2015-08-01,78.199997,81.680000,66.320000,75.120003,74.395561,6235300
2015-09-01,73.930000,91.809998,73.930000,90.129997,89.260796,19291700
2015-10-01,91.000000,93.910004,87.260002,88.330002,87.567719,11455800
2015-11-01,88.220001,93.339996,86.230003,89.300003,88.529358,8721600
2015-12-01,89.250000,91.570000,73.309998,79.940002,79.250122,13396800
2016-01-01,79.440002,79.820000,70.290001,75.169998,74.521286,11380200
2016-02-01,74.800003,79.959999,70.400002,78.760002,78.169502,8355500
2016-03-01,78.989998,91.769997,74.379997,91.389999,90.704803,11580400
2016-04-01,91.309998,93.449997,86.570000,90.459999,89.781792,7939700
2016-05-01,90.809998,92.730003,87.629997,90.300003,89.721970,9764600
2016-06-01,89.989998,94.870003,87.400002,90.199997,89.622604,9271100
2016-07-01,90.430000,98.150002,89.519997,96.540001,95.922020,5390400
2016-08-01,96.739998,100.410004,95.209999,96.900002,96.385612,5946000
2016-09-01,98.750000,104.940002,96.930000,102.430000,101.886261,7787900
2016-10-01,102.769997,103.889999,98.489998,100.230003,99.795151,5368500
2016-11-01,100.000000,103.550003,93.269997,99.910004,99.476547,6514800
2016-12-01,100.930000,103.410004,96.500000,98.379997,97.953186,8569300
2017-01-01,98.730003,100.930000,96.809998,98.550003,98.122444,6120600
2017-02-01,98.559998,104.459999,97.709999,102.279999,101.939415,5496700
2017-03-01,103.059998,111.680000,97.000000,110.209999,109.843010,10507400
2017-04-01,109.790001,121.250000,108.419998,119.500000,119.102074,8363500
2017-05-01,119.910004,125.980003,118.500000,125.129997,124.829681,6003800
2017-06-01,125.010002,132.339996,120.489998,123.910004,123.612610,8015600
2017-07-01,124.059998,125.660004,118.580002,121.870003,121.577507,5278800
2017-08-01,121.750000,124.940002,118.660004,123.070000,122.883995,5634100
2017-09-01,123.239998,140.190002,120.709999,136.529999,136.323654,10758600
2017-10-01,136.779999,144.440002,136.149994,143.610001,143.392960,5429900
2017-11-01,144.199997,166.619995,141.830002,157.710007,157.598282,8713300
2017-12-01,157.119995,159.690002,135.289993,157.050003,156.938736,9121900
2018-01-01,156.550003,170.000000,152.419998,168.179993,168.060837,7269500
2018-02-01,167.440002,168.509995,147.399994,149.350006,149.350006,7969300
2018-03-01,149.020004,155.889999,147.470001,155.250000,155.250000,7028300
