Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,9.387500,10.125000,8.500000,9.200000,9.200000,896000
1998-04-01,9.200000,9.912500,8.812500,9.875000,9.875000,1328800
1998-05-01,9.800000,15.500000,9.750000,15.050000,15.050000,2466400
1998-06-01,14.500000,15.975000,12.825000,15.625000,15.625000,141600
1998-07-01,16.500000,17.299999,16.125000,16.325001,16.325001,196200
1998-08-01,15.325000,15.325000,10.125000,10.200000,10.200000,772600
1998-09-01,9.750000,12.425000,9.650000,11.425000,11.425000,1567800
1998-10-01,11.125000,11.125000,8.125000,10.675000,10.675000,477200
1998-11-01,11.450000,14.375000,10.750000,13.150000,13.150000,1127000
1998-12-01,13.025000,14.875000,13.025000,14.875000,14.875000,623400
1999-01-01,15.150000,19.049999,14.500000,17.750000,17.750000,1645000
1999-02-01,17.549999,18.075001,16.299999,16.500000,16.500000,623000
1999-03-01,16.600000,17.450001,15.800000,16.299999,16.299999,2827800
1999-04-01,16.375000,17.625000,15.175000,17.625000,17.625000,1797600
1999-05-01,17.325001,17.325001,15.525000,16.250000,16.250000,780000
1999-06-01,16.125000,17.000000,15.250000,15.625000,15.625000,1468400
1999-07-01,15.750000,16.174999,13.975000,13.975000,13.975000,927600
1999-08-01,13.375000,14.875000,12.600000,13.750000,13.750000,2240000
1999-09-01,13.500000,14.625000,12.750000,14.225000,14.225000,1913800
1999-10-01,14.400000,17.750000,14.400000,16.250000,16.250000,1219600
1999-11-01,16.700001,19.674999,16.000000,18.924999,18.924999,2173600
1999-12-01,19.025000,34.450001,18.950001,30.875000,30.875000,14353800
2000-01-01,30.500000,33.900002,21.100000,25.750000,25.750000,20908200
2000-02-01,25.250000,30.200001,23.450001,24.850000,24.850000,13772700
2000-03-01,24.850000,26.150000,17.799999,20.400000,20.400000,16948600
2000-04-01,20.950001,20.950001,12.450000,13.400000,13.400000,19391200
2000-05-01,13.950000,18.250000,12.750000,18.250000,18.250000,16316000
2000-06-01,17.700001,18.200001,9.650000,12.100000,12.100000,19914300
2000-07-01,11.850000,11.900000,8.950000,10.200000,10.200000,11321600
2000-08-01,10.250000,14.000000,8.800000,12.350000,12.350000,15318600
2000-09-01,12.350000,13.000000,10.450000,11.700000,11.700000,7728900
2000-10-01,11.600000,12.200000,8.550000,8.850000,8.850000,6373600
2000-11-01,8.950000,9.300000,5.650000,7.050000,7.050000,7313500
2000-12-01,7.050000,7.050000,5.450000,6.000000,6.000000,10535900
2001-01-01,6.250000,9.850000,5.900000,8.910000,8.910000,13962300
2001-02-01,9.000000,9.800000,5.810000,6.500000,6.500000,15385900
2001-03-01,6.480000,6.490000,5.300000,5.980000,5.980000,19066800
2001-04-01,5.800000,8.740000,5.010000,8.620000,8.620000,14659300
2001-05-01,8.620000,9.750000,8.000000,8.100000,8.100000,19822300
2001-06-01,8.150000,9.390000,8.150000,8.640000,8.640000,9456400
2001-07-01,8.890000,9.090000,8.530000,8.770000,8.770000,11445400
2001-08-01,8.820000,9.740000,8.010000,8.500000,8.500000,17686100
2001-09-01,8.500000,9.250000,8.010000,9.050000,9.050000,11946700
2001-10-01,9.140000,10.500000,8.900000,10.240000,10.240000,28100800
2001-11-01,10.350000,11.750000,10.120000,11.720000,11.720000,33836600
2001-12-01,11.600000,12.250000,10.510000,12.250000,12.250000,18198700
2002-01-01,12.200000,12.890000,10.400000,10.500000,10.500000,16403100
2002-02-01,10.400000,10.900000,9.750000,10.750000,10.750000,15148400
2002-03-01,10.860000,11.590000,9.550000,9.970000,9.970000,18117200
2002-04-01,9.800000,9.900000,7.600000,8.250000,8.250000,27689700
2002-05-01,8.500000,8.940000,7.900000,8.220000,8.220000,13164800
2002-06-01,8.250000,8.570000,6.510000,6.850000,6.850000,15394500
2002-07-01,7.100000,8.140000,5.300000,6.000000,6.000000,8679800
2002-08-01,6.250000,7.180000,5.580000,6.290000,6.290000,7533800
2002-09-01,6.250000,6.840000,4.950000,6.050000,6.050000,16752200
2002-10-01,6.080000,7.430000,5.490000,7.000000,7.000000,16912500
2002-11-01,6.920000,8.160000,6.630000,7.950000,7.950000,16048900
2002-12-01,8.100000,8.270000,6.130000,6.800000,6.800000,24329600
2003-01-01,6.780000,7.650000,6.610000,7.470000,7.470000,18746100
2003-02-01,7.300000,7.470000,6.600000,7.000000,7.000000,16005800
2003-03-01,6.990000,7.100000,6.450000,6.890000,6.890000,8716100
2003-04-01,6.850000,7.290000,6.470000,7.010000,7.010000,24170500
2003-05-01,7.000000,7.820000,6.760000,7.650000,7.650000,13926400
2003-06-01,7.800000,8.650000,7.630000,8.000000,8.000000,18330200
2003-07-01,8.000000,8.580000,7.320000,7.700000,7.700000,13769000
2003-08-01,7.620000,7.990000,7.170000,7.600000,7.600000,20372200
2003-09-01,7.600000,8.190000,7.560000,7.810000,7.810000,19424200
2003-10-01,7.800000,7.970000,7.250000,7.510000,7.510000,13344000
2003-11-01,7.550000,7.660000,7.110000,7.560000,7.560000,17278900
2003-12-01,7.600000,8.120000,7.350000,8.100000,8.100000,9845200
2004-01-01,8.150000,9.200000,7.740000,9.050000,9.050000,16214600
2004-02-01,9.040000,9.290000,8.410000,8.700000,8.700000,13177100
2004-03-01,8.520000,8.800000,8.200000,8.550000,8.550000,13018900
2004-04-01,8.600000,9.000000,7.760000,8.000000,8.000000,10112400
2004-05-01,7.950000,8.420000,7.930000,8.260000,8.260000,9029700
2004-06-01,8.250000,9.080000,8.160000,9.050000,9.050000,17219000
2004-07-01,8.900000,9.000000,8.590000,8.850000,8.850000,9958700
2004-08-01,8.680000,8.800000,8.250000,8.450000,8.450000,8626900
2004-09-01,8.410000,8.710000,8.050000,8.500000,8.500000,12109300
2004-10-01,8.460000,8.590000,7.500000,8.000000,8.000000,12836900
2004-11-01,8.000000,8.290000,7.540000,7.850000,7.850000,18906100
2004-12-01,7.840000,8.190000,7.650000,8.000000,8.000000,11726600
2005-01-01,7.920000,8.090000,7.280000,8.050000,8.050000,8747800
2005-02-01,8.050000,8.470000,7.550000,7.950000,7.950000,17060300
2005-03-01,7.910000,8.300000,7.550000,7.650000,7.650000,19874100
2005-04-01,7.650000,7.800000,6.590000,7.090000,7.090000,10621400
2005-05-01,7.100000,7.260000,6.750000,7.090000,7.090000,19856300
2005-06-01,7.000000,7.740000,7.000000,7.360000,7.360000,9792000
2005-07-01,7.350000,7.760000,7.170000,7.350000,7.350000,12775500
2005-08-01,7.320000,8.500000,7.300000,8.470000,8.470000,14901800
2005-09-01,8.500000,8.780000,7.750000,8.500000,8.500000,11897800
2005-10-01,8.500000,8.900000,8.200000,8.500000,8.500000,9781000
2005-11-01,8.500000,8.730000,8.360000,8.480000,8.480000,14843200
2005-12-01,8.480000,9.360000,8.320000,9.300000,9.300000,27854000
2006-01-01,9.300000,9.940000,8.790000,8.900000,8.900000,33043200
2006-02-01,8.850000,9.490000,8.290000,8.530000,8.530000,22473200
2006-03-01,8.500000,8.950000,7.500000,7.750000,7.750000,30994400
2006-04-01,7.750000,8.550000,7.720000,8.080000,8.080000,37574700
2006-05-01,8.050000,8.280000,7.270000,7.620000,7.620000,24060500
2006-06-01,7.620000,7.620000,6.700000,6.960000,6.960000,13703200
2006-07-01,7.000000,7.160000,6.500000,6.620000,6.620000,16622500
2006-08-01,6.690000,7.330000,6.500000,7.000000,7.000000,17496800
2006-09-01,7.000000,7.490000,6.920000,7.320000,7.320000,32607300
2006-10-01,7.310000,8.050000,7.190000,7.660000,7.660000,27811800
2006-11-01,7.500000,7.900000,6.980000,7.890000,7.890000,21515700
2006-12-01,7.810000,8.390000,7.710000,8.130000,8.130000,21972800
2007-01-01,8.100000,9.240000,7.760000,9.150000,9.150000,24945800
2007-02-01,9.090000,10.150000,9.050000,9.880000,9.880000,32322100
2007-03-01,9.860000,10.400000,9.550000,9.980000,9.980000,31897300
2007-04-01,9.920000,10.620000,9.870000,9.900000,9.900000,20557200
2007-05-01,9.950000,11.570000,9.950000,11.550000,11.550000,40429400
2007-06-01,11.600000,12.110000,11.250000,11.950000,11.950000,37887800
2007-07-01,12.010000,12.240000,10.870000,10.950000,10.950000,28498000
2007-08-01,11.260000,11.800000,9.230000,11.700000,11.700000,27558600
2007-09-01,11.650000,12.000000,10.780000,11.390000,11.390000,18330400
2007-10-01,11.260000,11.390000,10.140000,10.760000,10.760000,21866700
2007-11-01,10.530000,11.570000,8.950000,11.370000,11.370000,28054400
2007-12-01,11.300000,11.950000,11.010000,11.590000,11.590000,17389800
2008-01-01,11.450000,11.450000,9.170000,10.050000,10.050000,17554200
2008-02-01,10.060000,11.060000,10.000000,10.900000,10.900000,21722600
2008-03-01,10.800000,11.030000,10.180000,10.900000,10.900000,28030500
2008-04-01,10.900000,12.020000,10.740000,11.730000,11.730000,30040100
2008-05-01,11.730000,11.950000,10.150000,10.690000,10.690000,43385800
2008-06-01,10.510000,11.190000,9.680000,10.160000,10.160000,42533400
2008-07-01,10.080000,11.380000,8.950000,10.900000,10.900000,34824900
2008-08-01,10.950000,11.680000,10.560000,11.590000,11.590000,21208900
2008-09-01,11.360000,11.390000,9.160000,9.310000,9.310000,25036100
2008-10-01,9.300000,9.960000,8.300000,9.620000,9.620000,35700100
2008-11-01,9.620000,10.400000,8.620000,9.770000,9.770000,25784500
2008-12-01,9.450000,9.870000,8.460000,9.600000,9.600000,28737600
2009-01-01,9.380000,10.340000,8.900000,9.930000,9.930000,22405300
2009-02-01,9.760000,10.380000,8.920000,9.300000,9.300000,34836800
2009-03-01,9.150000,10.710000,8.640000,10.180000,10.180000,22779100
2009-04-01,10.180000,11.190000,9.980000,10.580000,10.580000,22070900
2009-05-01,10.700000,11.210000,9.930000,10.150000,10.150000,23862500
2009-06-01,10.200000,10.680000,10.100000,10.340000,10.340000,17636700
2009-07-01,10.270000,11.140000,9.620000,10.950000,10.950000,17951400
2009-08-01,11.060000,11.470000,10.710000,11.320000,11.320000,12057900
2009-09-01,11.300000,13.300000,11.230000,12.540000,12.540000,20579600
2009-10-01,12.500000,13.900000,12.070000,13.220000,13.220000,21635300
2009-11-01,13.200000,13.500000,12.110000,13.050000,13.050000,19696200
2009-12-01,13.100000,14.780000,13.020000,14.240000,14.240000,14984000
2010-01-01,14.170000,15.210000,13.930000,14.090000,14.090000,19159800
2010-02-01,14.090000,15.240000,13.860000,14.800000,14.800000,14672600
2010-03-01,14.800000,15.740000,14.760000,15.200000,15.200000,16498600
2010-04-01,15.220000,15.640000,14.710000,15.040000,15.040000,17731800
2010-05-01,15.040000,16.660000,14.730000,16.250000,16.250000,22157900
2010-06-01,16.100000,16.799999,15.770000,15.840000,15.840000,20098500
2010-07-01,15.780000,16.790001,14.340000,14.700000,14.700000,21647200
2010-08-01,14.760000,15.330000,14.380000,14.740000,14.740000,14994600
2010-09-01,14.850000,15.790000,14.350000,15.490000,15.490000,21723600
2010-10-01,15.270000,16.480000,15.270000,15.690000,15.690000,17525200
2010-11-01,15.750000,17.200001,15.350000,16.100000,16.100000,22465300
2010-12-01,16.280001,17.570000,15.980000,17.200001,17.200001,16210000
2011-01-01,17.150000,19.950001,16.770000,19.260000,19.260000,15933000
2011-02-01,19.200001,20.340000,19.150000,19.370001,19.370001,18058900
2011-03-01,19.400000,20.600000,18.540001,20.330000,20.330000,15077500
2011-04-01,20.350000,21.250000,19.920000,20.700001,20.700001,14195400
2011-05-01,20.730000,22.340000,19.750000,22.340000,22.340000,14352600
2011-06-01,22.420000,23.860001,21.320000,23.809999,23.809999,15120800
2011-07-01,24.110001,24.299999,20.260000,20.540001,20.540001,15138800
2011-08-01,20.360001,20.590000,18.320000,19.840000,19.840000,18963600
2011-09-01,19.959999,20.219999,17.020000,19.709999,19.709999,14171000
2011-10-01,19.500000,20.820000,17.920000,20.400000,20.400000,18588600
2011-11-01,19.740000,20.950001,18.320000,18.750000,18.750000,15620400
2011-12-01,18.750000,19.610001,18.200001,19.200001,19.200001,9790800
2012-01-01,19.309999,20.450001,17.879999,20.250000,20.250000,11626700
2012-02-01,20.260000,21.410000,20.000000,21.180000,21.180000,15363500
2012-03-01,21.000000,22.400000,20.010000,22.230000,22.230000,14999700
2012-04-01,22.110001,22.299999,20.309999,22.170000,22.170000,10446300
2012-05-01,22.120001,25.030001,20.350000,23.950001,23.950001,19835500
2012-06-01,23.000000,24.469999,22.650000,24.469999,24.469999,13363800
2012-07-01,24.500000,24.930000,22.780001,23.629999,23.629999,15258000
2012-08-01,23.719999,25.980000,23.330000,25.740000,25.740000,14830500
2012-09-01,25.740000,27.000000,25.650000,26.400000,26.400000,11775600
2012-10-01,26.360001,26.850000,24.870001,26.129999,26.129999,14265900
2012-11-01,26.000000,26.299999,22.330000,22.799999,22.799999,21875900
2012-12-01,22.959999,24.709999,22.330000,22.940001,22.940001,13593600
2013-01-01,23.299999,27.020000,22.650000,26.760000,26.760000,17026600
2013-02-01,26.700001,28.430000,26.250000,27.250000,27.250000,15570000
2013-03-01,27.010000,27.690001,25.860001,27.610001,27.610001,8778300
2013-04-01,27.530001,32.200001,26.070000,31.900000,31.900000,11292700
2013-05-01,31.160000,33.080002,30.820000,31.740000,31.740000,13158200
2013-06-01,31.820000,32.529999,29.580000,30.799999,30.799999,14446100
2013-07-01,31.100000,36.360001,29.420000,35.500000,35.500000,16033400
2013-08-01,35.459999,36.730000,34.049999,34.950001,34.950001,10809800
2013-09-01,34.110001,37.820000,32.570000,36.150002,36.150002,40807600
2013-10-01,35.840000,38.660000,34.660000,34.980000,34.980000,23797800
2013-11-01,35.209999,41.470001,34.360001,39.410000,39.410000,22718700
2013-12-01,39.099998,39.240002,35.349998,35.540001,35.540001,28037300
2014-01-01,35.500000,35.840000,32.709999,34.169998,34.169998,37592100
2014-02-01,34.240002,37.400002,32.810001,36.169998,36.169998,19850300
2014-03-01,35.860001,36.759998,33.759998,34.130001,34.130001,17146600
2014-04-01,34.130001,40.930000,33.980000,39.520000,39.520000,19835400
2014-05-01,39.590000,40.209999,35.419998,36.900002,36.900002,16529700
2014-06-01,37.119999,38.730000,36.080002,37.820000,37.820000,12477200
2014-07-01,38.360001,39.889999,36.759998,39.110001,39.110001,13339700
2014-08-01,39.000000,39.830002,36.520000,38.480000,38.480000,12242000
2014-09-01,38.549999,40.169998,37.150002,37.840000,37.840000,11831100
2014-10-01,37.650002,39.200001,36.349998,38.689999,38.689999,15929600
2014-11-01,38.880001,42.290001,38.200001,41.680000,41.680000,15484400
2014-12-01,41.799999,45.549999,39.930000,44.290001,44.290001,19833700
2015-01-01,44.500000,51.400002,42.919998,50.349998,50.349998,20797900
2015-02-01,50.349998,57.689999,49.349998,52.310001,52.310001,21473100
2015-03-01,52.610001,55.849998,51.849998,53.720001,53.720001,15603400
2015-04-01,53.570000,57.400002,50.220001,50.779999,50.779999,13606300
2015-05-01,50.790001,55.349998,50.560001,52.680000,52.680000,13421900
2015-06-01,52.740002,53.869999,48.610001,48.849998,48.849998,13051300
2015-07-01,49.250000,53.130001,47.320000,48.860001,48.860001,13493000
2015-08-01,49.049999,50.820000,42.490002,48.599998,48.599998,12589600
2015-09-01,47.709999,49.490002,46.400002,48.349998,48.349998,18299600
2015-10-01,48.349998,50.840000,46.910000,48.570000,48.570000,11560200
2015-11-01,48.419998,58.590000,48.250000,58.130001,58.130001,21228500
2015-12-01,57.590000,59.389999,55.110001,55.400002,55.400002,16488100
2016-01-01,54.529999,60.290001,52.610001,60.040001,60.040001,16644200
2016-02-01,59.470001,61.500000,55.000000,56.610001,56.610001,14008000
2016-03-01,56.730000,62.660000,56.119999,62.070000,62.070000,13161900
2016-04-01,61.610001,63.619999,57.230000,57.320000,57.320000,14017600
2016-05-01,57.540001,61.570000,56.650002,61.330002,61.330002,10533700
2016-06-01,61.180000,61.740002,53.549999,55.189999,55.189999,13217900
2016-07-01,55.820000,64.480003,54.849998,63.389999,63.389999,11080200
2016-08-01,63.389999,65.169998,62.389999,63.830002,63.830002,8909500
2016-09-01,63.849998,65.839996,60.500000,62.490002,62.490002,9350100
2016-10-01,62.139999,64.440002,60.610001,63.709999,63.709999,8074800
2016-11-01,63.669998,67.139999,62.029999,63.630001,63.630001,12035000
2016-12-01,63.759998,65.849998,60.930000,64.440002,64.440002,13156600
2017-01-01,64.550003,66.250000,61.610001,62.570000,62.570000,10515300
2017-02-01,63.180000,64.620003,60.910000,61.060001,61.060001,13766000
2017-03-01,61.570000,64.860001,61.110001,63.720001,63.720001,13925100
2017-04-01,63.720001,66.019997,61.930000,65.879997,65.879997,7878700
2017-05-01,65.900002,67.269997,64.800003,66.970001,66.970001,12125800
2017-06-01,67.029999,69.220001,65.040001,66.260002,66.260002,12393900
2017-07-01,66.269997,67.220001,64.690002,65.830002,65.830002,7906600
2017-08-01,66.059998,67.169998,61.730000,63.529999,63.529999,11268800
2017-09-01,63.049999,65.029999,62.450001,64.699997,64.699997,11484700
2017-10-01,63.820000,69.360001,63.709999,68.550003,68.550003,6455700
2017-11-01,68.870003,69.360001,65.139999,68.089996,68.089996,9648600
2017-12-01,67.769997,70.000000,66.589996,68.300003,68.300003,9109500
2018-01-01,68.010002,72.389999,66.059998,70.400002,70.400002,10585100
2018-02-01,70.919998,75.970001,67.879997,75.000000,75.000000,17365600
2018-03-01,74.800003,77.000000,73.010002,76.120003,76.120003,4721400
