Date,Open,High,Low,Close,Adj Close,Volume
1998-06-01,0.606250,0.606250,0.587500,0.587500,0.525885,76800
1998-07-01,0.578120,0.796880,0.562500,0.796880,0.713306,1273600
1998-08-01,0.803130,0.906250,0.687500,0.687500,0.615397,451200
1998-09-01,0.687500,0.718750,0.687500,0.703120,0.629379,46400
1998-10-01,0.703120,0.703120,0.628130,0.650000,0.581830,54400
1998-11-01,0.643750,0.718750,0.634370,0.718750,0.643370,878400
1998-12-01,0.718750,0.781250,0.703120,0.781250,0.699315,244800
1999-01-01,0.781250,0.875000,0.734380,0.875000,0.783233,219200
1999-02-01,0.890620,1.296880,0.890620,1.250000,1.118904,492800
1999-03-01,1.250000,1.250000,1.093750,1.187500,1.062959,260800
1999-04-01,1.156250,1.250000,1.156250,1.218750,1.090931,115200
1999-05-01,1.218750,1.500000,1.125000,1.471870,1.317505,3774400
1999-06-01,1.465630,1.750000,1.453120,1.556250,1.393035,3656000
1999-07-01,1.515620,2.187500,1.437500,1.943750,1.739896,7267200
1999-08-01,2.034370,2.250000,1.693750,1.753120,1.569258,5403200
1999-09-01,1.756250,1.884370,1.568750,1.568750,1.404225,1596800
1999-10-01,1.587500,1.778130,1.343750,1.750000,1.566466,7155200
1999-11-01,1.750000,1.806250,1.500000,1.578120,1.412612,4464000
1999-12-01,1.593750,2.184380,1.531250,1.640620,1.468557,8001600
2000-01-01,1.650000,2.484380,1.593750,2.375000,2.125917,9268800
2000-02-01,2.346870,3.250000,2.346870,2.812500,2.517534,8718400
2000-03-01,2.812500,3.225000,2.687500,2.937500,2.629425,6459200
2000-04-01,2.940620,3.468750,2.737500,3.125000,2.797261,6574400
2000-05-01,3.125000,3.437500,2.984380,3.156250,2.825233,7849600
2000-06-01,3.062500,3.593750,3.037500,3.331250,2.981879,9720000
2000-07-01,3.437500,3.812500,3.312500,3.412500,3.054608,4340800
2000-08-01,3.500000,4.156250,3.343750,3.950000,3.535737,5057600
2000-09-01,3.937500,3.937500,3.031250,3.093750,2.769287,4736000
2000-10-01,3.187500,3.359380,2.875000,3.328120,2.979078,4955200
2000-11-01,3.328120,3.437500,2.781250,2.843750,2.545506,2953600
2000-12-01,2.828120,3.843750,2.828120,3.734380,3.342730,8630400
2001-01-01,3.718750,4.031250,3.500000,3.937500,3.524548,5192000
2001-02-01,3.937500,4.437500,3.695630,4.276250,3.827771,7932000
2001-03-01,4.250000,4.487500,3.406250,3.623750,3.243702,10719200
2001-04-01,3.500000,3.553750,2.531250,3.296250,2.950550,22170400
2001-05-01,3.287500,3.523750,2.668750,2.871250,2.570122,17220000
2001-06-01,2.843750,3.180000,2.625000,2.687500,2.405645,7132000
2001-07-01,2.686250,2.705000,2.031250,2.312500,2.069972,10931200
2001-08-01,2.312500,2.750000,2.218750,2.691250,2.409000,3313600
2001-09-01,2.748750,2.800000,2.250000,2.362500,2.114728,6057600
2001-10-01,2.306250,2.437500,2.063750,2.252500,2.016265,8057600
2001-11-01,2.315000,2.843750,2.147500,2.812500,2.517534,3088800
2001-12-01,2.843750,2.876250,2.300000,2.850000,2.551101,12398400
2002-01-01,2.850000,3.356250,2.775000,3.075000,2.752504,11557600
2002-02-01,3.062500,3.387500,2.812500,3.360000,3.007614,6716800
2002-03-01,3.360000,3.468750,3.156250,3.453750,3.091532,7529600
2002-04-01,3.462500,3.865000,3.345000,3.692500,3.305243,13724000
2002-05-01,3.687500,4.342500,3.550000,4.342500,3.887073,10634400
2002-06-01,4.343750,4.700000,4.218750,4.265000,3.817701,9581600
2002-07-01,4.375000,4.375000,3.311250,3.687500,3.300767,8576800
2002-08-01,3.693750,4.425000,3.693750,4.287500,3.837842,10348000
2002-09-01,4.287500,4.447500,4.081250,4.215000,3.772945,6622400
2002-10-01,4.143750,4.343750,3.750000,4.343750,3.888191,7104800
2002-11-01,4.328750,4.361250,3.852500,4.293750,3.843435,7237600
2002-12-01,4.293750,4.723750,4.293750,4.630000,4.144421,11624000
2003-01-01,4.625000,5.031250,4.518750,4.886250,4.373796,10833600
2003-02-01,4.875000,4.932500,4.571250,4.750000,4.251834,5236800
2003-03-01,4.637500,4.755000,4.437500,4.558750,4.080643,4398400
2003-04-01,4.593750,5.037500,4.320000,4.936250,4.418552,7398400
2003-05-01,4.938750,5.242500,4.558750,4.571250,4.091832,6001600
2003-06-01,4.537500,4.885000,4.251250,4.381250,3.921758,15986400
2003-07-01,4.462500,5.125000,4.462500,5.077500,4.544988,12488000
2003-08-01,4.968750,5.312500,4.960000,5.188750,4.644570,16248800
2003-09-01,5.143750,5.312500,4.623750,4.741250,4.244002,26864000
2003-10-01,4.746250,4.866250,4.312500,4.527500,4.052670,14724000
2003-11-01,4.465000,4.875000,4.375000,4.811250,4.306662,18167200
2003-12-01,4.810000,5.068750,4.400000,5.003750,4.478973,17548800
2004-01-01,5.000000,5.123750,4.766250,4.962500,4.442049,7696800
2004-02-01,4.978750,5.493750,4.957500,5.490000,4.914226,9239200
2004-03-01,5.560000,5.612500,5.125000,5.137500,4.598696,8017600
2004-04-01,5.162500,5.271250,4.627500,4.987500,4.464427,10996800
2004-05-01,4.995000,5.071250,4.687500,4.913750,4.398412,44155200
2004-06-01,4.916250,4.927500,4.535000,4.781250,4.279808,13002400
2004-07-01,4.752500,4.752500,4.258750,4.388750,3.928471,7170400
2004-08-01,4.390000,4.746250,4.390000,4.506250,4.033650,12694400
2004-09-01,4.500000,4.606250,4.231250,4.450000,3.983299,14198400
2004-10-01,4.375000,4.591250,4.375000,4.400000,3.938543,10720800
2004-11-01,4.390000,4.648750,4.357500,4.626250,4.141064,16196800
2004-12-01,4.613750,5.156250,4.613750,5.100000,4.565129,25283200
2005-01-01,5.098750,5.700000,5.075000,5.668750,5.074229,21889600
2005-02-01,5.680000,6.312500,5.562500,6.148750,5.503888,26111200
2005-03-01,6.156250,6.812500,6.156250,6.413750,5.741097,20736000
2005-04-01,6.562500,7.190000,6.256250,6.678750,5.978304,17105600
2005-05-01,6.747500,8.000000,6.625000,8.000000,7.160985,23726400
2005-06-01,7.997500,8.127500,7.450000,8.030000,7.187840,17498400
2005-07-01,8.275000,9.230000,8.245000,9.000000,8.056109,20067200
2005-08-01,9.060000,10.320000,8.977500,9.987500,8.940044,21622000
2005-09-01,9.870000,11.352500,9.517500,11.077500,9.915729,15800800
2005-10-01,11.247500,11.675000,9.322500,10.325000,9.242147,18246400
2005-11-01,10.182500,11.375000,10.125000,11.092500,9.929154,18572000
2005-12-01,11.250000,12.772500,11.250000,12.500000,11.189042,15486400
2006-01-01,12.870000,14.110000,12.505000,13.632500,12.202768,15507200
2006-02-01,13.992500,14.792500,13.640000,14.187500,12.699560,14018800
2006-03-01,14.200000,15.307500,13.450000,13.810000,12.361653,19681200
2006-04-01,13.852500,14.520000,12.802500,13.387500,11.983462,24417200
2006-05-01,13.307500,13.750000,11.387500,11.500000,10.293918,25163600
2006-06-01,11.532500,13.250000,10.565000,13.197500,11.813390,23441200
2006-07-01,13.247500,13.247500,11.000000,12.085000,10.817565,20264800
2006-08-01,12.000000,13.987500,11.787500,13.882500,12.426548,15993600
2006-09-01,13.940000,14.530000,13.297500,13.585000,12.160249,15567200
2006-10-01,13.650000,14.997500,13.375000,14.290000,12.791311,13804800
2006-11-01,14.495000,15.932500,13.822500,15.617500,13.979588,13115600
2006-12-01,15.710000,15.747500,13.375000,13.622500,12.193814,19152800
2007-01-01,13.622500,15.487500,13.500000,14.655000,13.118032,18426400
2007-02-01,14.625000,15.780000,14.482500,15.140000,13.552166,11447200
2007-03-01,15.140000,17.709999,14.665000,17.000000,15.217097,15804400
2007-04-01,17.012501,18.532499,16.915001,17.600000,15.754170,14544400
2007-05-01,17.512501,19.955000,16.697500,18.600000,16.649286,19402600
2007-06-01,18.855000,20.215000,17.834999,18.184999,16.277811,9192200
2007-07-01,17.764999,18.924999,17.129999,18.330000,16.407606,12140600
2007-08-01,18.330000,19.105000,15.720000,17.125000,15.328985,14071800
2007-09-01,17.125000,19.879999,16.025000,19.695000,17.629452,15103200
2007-10-01,19.809999,22.275000,19.180000,21.625000,19.357042,25001600
2007-11-01,21.410000,21.605000,17.084999,18.995001,17.002859,26632000
2007-12-01,18.990000,21.070000,18.395000,20.469999,18.323168,19024600
2008-01-01,20.605000,20.945000,15.000000,18.545000,16.600060,31257000
2008-02-01,18.610001,21.365000,18.375000,18.514999,16.573208,20727600
2008-03-01,18.629999,20.040001,16.125000,19.360001,17.329582,24052400
2008-04-01,19.275000,19.764999,12.035000,12.905000,11.551565,39112000
2008-05-01,13.125000,15.005000,12.600000,14.675000,13.135931,44559600
2008-06-01,14.375000,15.260000,12.640000,13.105000,11.730588,24775200
2008-07-01,13.700000,14.200000,11.045000,13.020000,11.654507,27986600
2008-08-01,13.050000,14.975000,11.465000,12.460000,11.153235,24544200
2008-09-01,12.695000,14.485000,11.305000,11.825000,10.584832,30854200
2008-10-01,12.230000,14.225000,10.725000,14.050000,12.576478,29516400
2008-11-01,14.360000,14.775000,10.155000,10.500000,9.398790,28549000
2008-12-01,10.155000,10.470000,4.755000,7.095000,6.350900,46199000
2009-01-01,7.030000,7.695000,6.185000,6.570000,5.880960,16458800
2009-02-01,6.740000,6.980000,4.145000,4.730000,4.233933,26794200
2009-03-01,4.560000,5.355000,3.675000,5.130000,4.591984,29967000
2009-04-01,5.170000,8.410000,5.000000,6.830000,6.113691,37250400
2009-05-01,7.005000,9.835000,6.005000,9.050000,8.100866,33805600
2009-06-01,9.200000,9.665000,8.145000,8.615000,7.711487,18525600
2009-07-01,8.705000,9.425000,7.590000,8.980000,8.038206,12811200
2009-08-01,9.100000,11.870000,8.890000,11.275000,10.092512,18721400
2009-09-01,11.305000,11.470000,9.855000,10.580000,9.470406,29060400
2009-10-01,10.525000,10.595000,8.930000,9.530000,8.530523,17007000
2009-11-01,9.550000,10.400000,9.440000,10.175000,9.107880,11032400
2009-12-01,10.320000,13.305000,10.230000,12.850000,11.502334,21399400
2010-01-01,12.920000,12.990000,11.285000,11.465000,10.262587,12197600
2010-02-01,11.450000,13.130000,11.450000,12.405000,11.104000,20376200
2010-03-01,12.460000,13.625000,12.385000,13.360000,11.958849,15659600
2010-04-01,13.445000,15.185000,13.295000,14.740000,13.194115,21794800
2010-05-01,14.850000,16.049999,13.255000,15.660000,14.017632,18533800
2010-06-01,15.525000,16.629999,15.225000,15.290000,13.686433,20098400
2010-07-01,14.925000,15.950000,14.170000,15.815000,14.156372,11477000
2010-08-01,16.235001,16.565001,14.200000,14.625000,13.091174,12784000
2010-09-01,14.760000,15.450000,13.710000,14.470000,12.952431,18123600
2010-10-01,14.520000,15.150000,13.485000,14.695000,13.153834,15233400
2010-11-01,14.670000,15.610000,13.260000,15.470000,13.847553,29731000
2010-12-01,15.390000,15.775000,14.025000,14.175000,12.688370,20173200
2011-01-01,14.210000,14.805000,13.750000,14.715000,13.171737,14918200
2011-02-01,14.790000,15.925000,14.375000,15.550000,13.919166,25767400
2011-03-01,15.460000,16.235001,14.725000,15.910000,14.312998,11761800
2011-04-01,15.960000,18.059999,15.225000,17.620001,15.851352,20830800
2011-05-01,17.650000,18.235001,16.850000,18.049999,16.238188,13574200
2011-06-01,18.100000,18.230000,15.895000,16.995001,15.354541,12027200
2011-07-01,17.075001,18.000000,14.180000,14.320000,12.937746,17495000
2011-08-01,14.075000,14.090000,11.900000,13.225000,11.948443,27986200
