Date,Open,High,Low,Close,Adj Close,Volume
2007-12-01,10.990000,12.490000,10.890000,12.470000,5.383942,1251200
2008-01-01,12.470000,14.000000,11.500000,11.700000,5.086303,216000
2008-02-01,11.750000,11.800000,10.920000,11.000000,4.815008,185400
2008-03-01,11.000000,11.030000,10.650000,10.800000,4.763045,379300
2008-04-01,10.800000,10.950000,10.180000,10.750000,4.777541,342600
2008-05-01,10.800000,11.210000,8.250000,8.960000,4.013866,1005300
2008-06-01,9.100000,9.100000,7.550000,7.900000,3.572601,733800
2008-07-01,7.950000,7.950000,6.760000,7.140000,3.263762,988400
2008-08-01,7.200000,8.900000,7.200000,7.830000,3.621061,154900
2008-09-01,7.990000,8.000000,6.800000,7.300000,3.411480,425600
2008-10-01,7.360000,7.550000,6.350000,7.300000,3.451411,277200
2008-11-01,7.200000,7.300000,4.950000,5.600000,2.678868,447200
2008-12-01,5.600000,5.600000,2.600000,4.000000,1.939968,255600
2009-01-01,4.000000,4.390000,3.800000,3.950000,1.968443,210300
2009-02-01,3.800000,4.100000,3.550000,3.750000,1.909561,55900
2009-03-01,3.980000,4.080000,3.700000,3.710000,1.929371,33100
2009-04-01,3.650000,3.990000,2.750000,3.000000,1.594189,202300
2009-05-01,3.250000,3.950000,3.000000,3.600000,1.971714,521400
2009-06-01,3.600000,4.500000,3.200000,3.850000,2.160072,389300
2009-07-01,4.100000,4.450000,3.120000,4.250000,2.443698,273400
2009-08-01,4.150000,5.250000,3.760000,5.200000,3.049030,356300
2009-09-01,5.010000,5.150000,4.500000,5.050000,3.011169,687000
2009-10-01,5.100000,5.750000,4.910000,5.200000,3.155394,517700
2009-11-01,5.300000,5.350000,5.000000,5.100000,3.142772,200200
2009-12-01,5.100000,5.500000,5.010000,5.500000,3.389264,220800
2010-01-01,5.490000,5.700000,5.300000,5.430000,3.399997,275800
2010-02-01,6.300000,8.200000,6.300000,7.890000,5.017916,2874200
2010-03-01,7.870000,8.890000,7.870000,8.100000,5.207109,625000
2010-04-01,8.150000,9.500000,8.100000,9.200000,5.914246,5109900
2010-05-01,9.040000,9.620000,8.000000,8.900000,5.721389,2426100
2010-06-01,8.670000,9.000000,8.100000,8.380000,5.387107,3584000
2010-07-01,8.310000,9.000000,8.120000,8.710000,5.695368,780900
2010-08-01,8.470000,9.000000,8.460000,8.790000,5.747680,1672900
2010-09-01,8.700000,9.940000,8.410000,9.450000,6.179246,1379100
2010-10-01,9.360000,9.980000,9.260000,9.640000,6.402780,1048400
2010-11-01,9.560000,9.960000,9.200000,9.550000,6.343002,1188300
2010-12-01,9.580000,9.960000,9.530000,9.930000,6.595394,641000
2011-01-01,9.990000,10.720000,9.550000,9.850000,6.640818,957300
2011-02-01,9.850000,10.030000,9.390000,9.520000,6.418334,1723100
2011-03-01,9.500000,9.620000,9.300000,9.560000,6.445303,3166000
2011-04-01,9.580000,9.950000,9.300000,9.950000,6.811880,2024600
2011-05-01,9.940000,10.190000,9.680000,10.000000,6.846111,1327200
2011-06-01,9.990000,10.200000,9.500000,9.980000,6.832417,1601900
2011-07-01,10.000000,10.350000,9.750000,9.810000,6.813176,1159000
2011-08-01,9.810000,9.860000,8.650000,9.680000,6.722888,4545300
2011-09-01,9.740000,9.750000,8.930000,9.350000,6.493700,1144700
2011-10-01,9.340000,9.650000,8.950000,9.440000,6.661774,1569200
2011-11-01,9.460000,10.200000,9.350000,9.800000,6.915826,1239100
2011-12-01,9.790000,10.670000,9.540000,10.300000,7.268672,2426700
2012-01-01,10.210000,10.930000,10.060000,10.290000,7.364794,1575300
2012-02-01,10.390000,10.470000,9.960000,10.270000,7.350480,1543500
2012-03-01,10.320000,10.500000,10.000000,10.490000,7.507938,1352700
2012-04-01,10.440000,10.580000,10.020000,10.340000,7.507090,3110900
2012-05-01,10.310000,10.950000,10.300000,10.950000,7.949965,946800
2012-06-01,10.880000,10.940000,9.690000,10.330000,7.499829,1151100
2012-07-01,10.380000,11.100000,10.080000,10.860000,7.997986,850500
2012-08-01,10.890000,11.230000,10.710000,10.930000,8.049539,1181700
2012-09-01,10.950000,11.270000,10.550000,10.850000,7.990623,1256600
2012-10-01,10.870000,11.000000,10.500000,10.860000,8.107547,1016600
2012-11-01,10.890000,10.920000,10.120000,10.550000,7.876117,1557700
2012-12-01,10.500000,10.530000,10.040000,10.350000,7.726806,1773000
2013-01-01,10.430000,10.460000,10.000000,10.230000,7.747354,3041600
2013-02-01,10.300000,10.750000,10.220000,10.500000,7.951832,1793300
2013-03-01,10.470000,10.520000,9.360000,9.640000,7.300537,4384700
2013-04-01,9.670000,10.350000,9.330000,10.180000,7.821554,3677400
2013-05-01,10.180000,10.280000,9.820000,9.980000,7.667891,3653100
2013-06-01,9.960000,9.970000,8.610000,8.790000,6.753582,4037300
2013-07-01,8.820000,8.890000,8.370000,8.670000,6.770340,4141300
2013-08-01,8.690000,9.040000,8.400000,8.620000,6.731297,2842400
2013-09-01,8.640000,8.940000,8.510000,8.750000,6.832812,2030800
2013-10-01,8.750000,9.290000,8.510000,9.140000,7.255436,2691100
2013-11-01,9.120000,9.860000,9.000000,9.780000,7.763475,3351900
2013-12-01,9.850000,11.430000,9.590000,10.600000,8.414399,11447300
2014-01-01,10.600000,10.900000,9.930000,10.460000,8.421707,4539900
2014-02-01,10.440000,10.440000,9.570000,9.940000,8.003037,2611400
2014-03-01,9.890000,10.250000,9.800000,9.970000,8.027193,2577800
2014-04-01,9.930000,10.750000,9.920000,10.600000,8.664657,2687200
2014-05-01,10.600000,10.790000,10.170000,10.370000,8.476649,2335000
2014-06-01,10.370000,10.940000,9.960000,10.810000,8.836316,2032600
2014-07-01,10.790000,10.970000,10.480000,10.500000,8.702901,1926000
2014-08-01,10.550000,10.890000,10.160000,10.690000,8.860382,1868700
2014-09-01,10.750000,10.750000,10.140000,10.480000,8.686324,3387800
2014-10-01,10.440000,11.040000,9.810000,11.030000,9.274942,2027400
2014-11-01,11.000000,11.250000,10.580000,11.080000,9.316985,1916100
2014-12-01,11.190000,11.540000,10.880000,11.360000,9.552435,2968100
2015-01-01,11.350000,12.100000,11.040000,11.920000,10.157450,2989300
2015-02-01,11.910000,12.360000,11.510000,11.740000,10.004065,2300500
2015-03-01,11.750000,11.970000,11.100000,11.200000,9.543911,2944500
2015-04-01,11.170000,11.490000,11.040000,11.220000,9.695006,2194500
2015-05-01,11.230000,11.420000,10.850000,11.260000,9.729572,2617900
2015-06-01,11.250000,12.250000,10.580000,10.620000,9.176559,2559100
2015-07-01,10.720000,10.820000,10.340000,10.730000,9.403148,2434500
2015-08-01,10.730000,11.170000,9.510000,10.550000,9.245407,3887500
2015-09-01,10.420000,10.660000,9.900000,10.450000,9.157773,3214800
2015-10-01,10.450000,11.300000,10.100000,10.580000,9.413634,3465900
2015-11-01,10.590000,11.160000,10.460000,11.120000,9.894104,2198800
2015-12-01,11.130000,11.970000,10.100000,11.330000,10.080954,2324100
2016-01-01,11.240000,11.950000,9.980000,11.720000,10.566523,3271700
2016-02-01,11.300000,13.120000,11.100000,12.680000,11.432037,3888000
2016-03-01,12.750000,14.310000,12.550000,14.110000,12.721299,6403300
2016-04-01,14.010000,14.140000,13.450000,13.850000,12.631978,3524200
2016-05-01,13.890000,14.970000,13.790000,14.490000,13.215693,3641500
2016-06-01,14.470000,14.800000,13.760000,14.490000,13.215693,3595700
