Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,2.708330,2.825000,2.683330,2.791670,1.178814,6013200
1998-04-01,2.791670,3.275000,2.741670,3.166670,1.337163,833400
1998-05-01,3.166670,3.708330,3.133330,3.600000,1.520141,642000
1998-06-01,3.608330,3.666670,3.375000,3.416670,1.446917,1296000
1998-07-01,3.416670,3.433330,3.166670,3.241670,1.372807,841800
1998-08-01,3.241670,3.250000,3.000000,3.008330,1.273990,900000
1998-09-01,2.958330,3.125000,2.916670,3.033330,1.288309,1915200
1998-10-01,3.033330,3.416670,2.875000,3.116670,1.323705,895800
1998-11-01,3.050000,3.091670,2.858330,3.000000,1.274153,2669400
1998-12-01,3.041670,3.241670,3.041670,3.191670,1.359846,864600
1999-01-01,3.191670,3.608330,3.166670,3.541670,1.508966,4872600
1999-02-01,3.516670,3.516670,3.108330,3.166670,1.349195,321000
1999-03-01,3.183330,3.241670,3.075000,3.183330,1.360564,1603800
1999-04-01,3.166670,3.750000,3.033330,3.500000,1.495909,1122600
1999-05-01,3.416670,3.416670,3.083330,3.166670,1.353443,1330800
1999-06-01,3.166670,3.583330,3.100000,3.475000,1.490361,2099400
1999-07-01,3.475000,3.875000,3.333330,3.500000,1.501084,1434600
1999-08-01,3.500000,3.625000,3.391670,3.458330,1.483213,1421400
1999-09-01,3.416670,3.475000,3.216670,3.275000,1.408894,364200
1999-10-01,3.275000,3.275000,2.716670,2.858330,1.229644,542400
1999-11-01,2.858330,3.166670,2.466670,2.591670,1.114928,6343200
1999-12-01,2.625000,3.166670,2.500000,3.133330,1.378853,11234400
2000-01-01,3.133330,3.183330,2.541670,2.833330,1.246835,19446000
2000-02-01,2.841670,3.216670,2.791670,3.058330,1.345849,26597400
2000-03-01,3.050000,3.441670,2.766670,2.891670,1.305230,17776800
2000-04-01,2.966670,3.166670,2.683330,2.966670,1.339083,16777200
2000-05-01,3.000000,3.233330,2.916670,2.925000,1.320275,12567600
2000-06-01,2.950000,3.250000,2.883330,3.058330,1.414217,22925400
2000-07-01,3.058330,3.216670,3.000000,3.116670,1.441194,19216200
2000-08-01,3.083330,3.133330,2.941670,2.966670,1.371832,15101400
2000-09-01,3.000000,3.166670,2.975000,3.158330,1.496869,15462600
2000-10-01,3.091670,3.575000,3.091670,3.466670,1.643005,16114800
2000-11-01,3.375000,3.583330,3.000000,3.333330,1.579809,25423200
2000-12-01,3.333330,3.525000,3.241670,3.433330,1.662492,11084400
2001-01-01,3.433330,3.625000,3.325000,3.541670,1.714953,10977600
2001-02-01,3.575000,3.700000,3.433330,3.533330,1.710914,9315000
2001-03-01,3.538330,3.891670,3.505000,3.831670,1.901956,8827800
2001-04-01,3.783330,4.208330,3.708330,3.800000,1.886236,8061600
2001-05-01,3.891670,4.333330,3.841670,4.316670,2.142699,7747800
2001-06-01,4.250000,4.875000,4.250000,4.833330,2.453115,8587800
2001-07-01,4.833330,5.250000,4.725000,5.133330,2.605378,13771200
2001-08-01,5.083330,5.833330,4.708330,5.750000,2.918363,12571200
2001-09-01,5.750000,6.290000,5.008330,6.020000,3.104272,19589196
2001-10-01,6.083330,6.541670,5.916670,6.433330,3.317410,12307200
2001-11-01,6.475000,6.475000,5.750000,6.000000,3.093959,10015800
2001-12-01,5.916670,6.166670,5.800000,5.945000,3.109730,9769800
2002-01-01,5.945000,7.041670,5.835000,6.998330,3.660709,17735400
2002-02-01,6.993330,7.456670,6.750000,6.916670,3.617995,9990600
2002-03-01,6.916670,7.233330,6.750000,7.200000,3.795294,8994000
2002-04-01,7.233330,7.336670,6.333330,6.613330,3.486047,14755200
2002-05-01,6.613330,7.296670,6.613330,7.296670,3.846250,7991100
2002-06-01,7.166670,7.166670,6.036670,6.496670,3.451737,14169900
2002-07-01,6.496670,6.560000,5.633330,5.833330,3.099298,8364300
2002-08-01,5.833330,6.666670,5.766670,6.616670,3.515494,11561400
2002-09-01,6.616670,6.660000,5.683330,5.820000,3.120167,10344600
2002-10-01,5.883330,5.990000,5.253330,5.876670,3.150545,9065700
2002-11-01,5.933330,6.083330,5.666670,5.933330,3.180923,4739100
2002-12-01,5.933330,6.063330,5.670000,5.916670,3.202446,5984400
2003-01-01,5.916670,6.166670,5.900000,6.083330,3.292653,7449000
2003-02-01,6.096670,6.133330,5.866670,5.950000,3.220486,5850000
2003-03-01,6.000000,6.000000,5.590000,5.866670,3.212868,8023200
2003-04-01,5.883330,6.456670,5.673330,6.416670,3.514075,7626900
2003-05-01,6.416670,6.650000,6.333330,6.633330,3.632727,5527200
2003-06-01,6.643330,6.650000,6.466670,6.550000,3.626142,7172700
2003-07-01,6.550000,6.733330,6.466670,6.533330,3.616912,9220200
2003-08-01,6.533330,6.600000,6.043330,6.076670,3.364102,14615400
2003-09-01,6.076670,6.466670,6.050000,6.300000,3.526309,13340700
2003-10-01,6.283330,6.683330,6.166670,6.616670,3.703559,11040900
2003-11-01,6.616670,7.033330,6.586670,6.733330,3.768857,11041500
2003-12-01,6.733330,7.316670,6.650000,7.300000,4.127814,8205900
2004-01-01,7.300000,7.456670,6.666670,6.686670,3.781003,20040000
