;NA.TO;BCE.TO;CNR.TO;RY.TO;ATD-b.TO;GIBa.TO;DOL.TO;BMO.TO;POW.TO;MRU.TO;QBRb.TO;PWF.TO;SAP.TO;IAG.TO;AC.TO;CAE.TO;SNC.TO;PJCa.TO;BBDb.TO;TAP.us;LB.TO;DOO.TO;CCA.TO;TCLa.TO;GIL.TO;RCH.TO;TFII.TO;BLX.TO;WSP.TO;INE.TO
2018-03-01;59.710011;54.582367;92.077988;98.690002;56.887497;76.120003;155.25;96.580002;28.832205;40.66;23.73;32.099998;40.936214;52.043835;25.93;23.451134;55.885029;24.469999;3.75;75.007637;47.139999;48.120296;70.110001;25.207491;36.837959;29.709999;32.379292;22.719999;57.324154;13.180509
2017-03-01;53.110668;55.375721;96.10524;92.678902;59.631161;63.720001;109.84301;95.434753;29.483208;40.196304;20.408258;33.512524;44.904053;56.112083;13.8;19.920389;50.877075;20.459576;2.04;93.860413;54.728645;31.064581;69.497383;23.624506;35.436634;27.294878;30.072115;20.900282;45.349949;13.487855
2016-03-01;38.102882;53.163986;78.026009;68.825935;57.077816;62.07;90.704803;72.767792;27.00668;43.591297;16.891773;29.429537;40.323685;37.163635;8.96;14.459249;45.352596;21.002256;1.32;92.359108;42.446404;19.283861;66.040855;19.034866;38.72876;22.189249;21.046917;15.20566;35.808998;12.721299
2015-03-01;39.568707;45.898609;80.216225;67.226387;49.64616;53.720001;69.943321;66.164864;29.04451;32.768764;16.713898;32.541149;33.161388;39.027874;12.39;13.904313;36.694332;25.252813;2.5;70.359238;39.768547;24.067608;63.349869;15.55579;36.193153;20.105967;27.538658;11.960948;37.645691;9.543911
2014-03-01;36.40794;38.778992;57.914165;61.879433;29.27684;34.130001;41.107998;61.227367;25.223316;19.827353;13.270468;28.528076;25.931719;40.861984;5.53;13.443633;44.22081;20.038357;4.003018;54.469593;37.677971;28.732256;52.729649;13.648981;26.609381;15.007637;21.107813;11.26566;30.766665;8.027193
2013-03-01;28.110943;36.723957;46.260113;49.975189;17.821053;27.610001;31.390284;50.559147;21.895435;18.548014;10.533941;23.881489;23.148869;32.825661;3.03;9.004828;38.068638;14.251132;3.840841;44.155056;33.186558;27.568206505016;40.992413;10.300593;19.055056;11.653513;19.166763;9.138214;;7.300537
2012-03-01;27.510794;29.330767;34.650452;45.302826;10.625359;22.23;22.054531;44.717079;20.209816;14.797021;9.365889;22.21241;18.520063;25.936983;0.94;9.114458;34.948608;12.456356;3.840368;39.317802;33.626228;27.5648114772924;45.864628;9.61713;12.638101;8.548879;14.288809;6.993093;;7.507938
2011-03-01;25.276621;24.510674;30.859558;45.186188;8.270282;20.33;13.887541;45.345802;20.95624;12.226361;8.38933;22.587992;18.120329;34.372196;2.45;11.308234;47.586563;8.876839;6.484478;39.818287;35.386131;46.5433035580574;38.720062;11.109139;14.312998;8.147668;11.709723;7.250506;;6.445303
2010-03-01;18.33111;19.67346;25.122486;43.191307;5.947176;15.2;10.256781;42.415276;21.45904;10.620689;8.317021;23.017113;11.806292;27.980335;2.22;8.590889;42.157204;8.39398;5.582596;34.830349;29.165005;40.0699116058374;34.942581;9.845208;11.958849;5.994105;7.902141;9.103891;;5.207109
2009-03-01;10.890638;15.586222;17.666399;25.668594;3.817462;10.18;;21.428164;13.117192;9.111576;4.278461;13.419492;7.980083;15.321123;0.89;6.506607;26.838089;6.299352;2.574816;27.778921;17.306669;18.4811241080845;26.23291;4.008589;4.591984;3.697606;2.51132;4.693525;;1.929371
2008-03-01;11.556909;21.018797;18.754082;31.892551;4.897711;10.9;;27.928106;21.817709;5.553039;6.085877;21.893045;10.123921;28.207951;9.44;9.554331;36.852455;8.417652;4.720244;41.851891;26.76531;33.8802520974085;29.602444;12.712437;17.329582;4.878194;5.156226;15.221775;;4.763045
2007-03-01;13.882359;18.984442;18.592505;36.894257;7.668457;9.98;;40.565186;23.318535;7.966985;9.090034;23.61565;7.924813;25.890244;16.440001;10.655215;27.143478;11.594611;4.021269;36.895088;20.322893;28.8632552621207;33.754971;14.345499;15.217097;5.260978;8.175664;12.012674;;
2006-03-01;13.30327;15.63296;18.831911;30.633961;7.965052;7.75;;37.230686;20.517014;6.250142;6.164952;20.832792;5.154156;22.930542;;7.48638;25.946461;9.232558;2.933973;25.810614;18.70928;21.0590267975532;22.83993;12.930851;12.361653;4.757548;10.231289;7.660819;;
2005-03-01;10.3275;16.074299;12.923953;21.547819;5.341879;7.65;;30.55315;17.815317;5.644887;7.203569;18.369198;5.384223;19.675184;;4.84814;18.438416;14.799103;2.32992;27.866377;14.645429;16.7233467097875;20.176985;16.937279;5.741097;5.253633;7.884338;5.447693;;
2004-03-01;8.314221;14.047864;8.221684;17.121532;3.789952;8.55;;28.606644;15.516214;4.204605;5.647015;15.589682;4.596293;15.154969;;4.527947;12.259048;13.418237;4.921983;24.395765;14.877203;35.3282637209346;15.691881;16.356188;4.598696;3.933527;4.753776;3.915529;;
2003-03-01;5.519889;13.19429;6.118827;14.973601;2.031729;6.89;;20.568544;10.175336;3.212868;2.92207;10.295712;2.932139;11.785577;;2.363204;8.450071;10.81012;2.551137;16.543974;13.076862;18.3111645700999;10.936766;10.630997;4.080643;2.902845;;3.362248;;
2002-03-01;5.187146;13.126465;7.220788;13.147084;2.511522;9.97;;19.162771;10.324495;3.795294;5.383594;9.563749;3.710079;14.438917;;8.936108;;13.052461;11.519872;22.385759;18.153137;82.6855915689692;16.683203;11.152289;3.091532;2.818165;;6.639376;;
2001-03-01;4.190252;16.233908;5.009641;10.993511;1.006098;5.98;;19.006533;9.273761;1.901956;5.506238;8.257528;2.190497;10.816243;;8.962747;;9.458261;17.315701;21.044779;13.476431;124.286014689781;20.418253;5.669552;3.243702;1.601496;;6.979857;;
2000-03-01;2.999651;19.040424;2.981002;7.243359;0.742364;20.4;;11.520223;5.18186;1.30523;8.343527;5.008235;1.41274;5.677841;;4.924589;;5.011096;14.362968;15.090567;7.685735;103.092335207038;34.279911;5.260113;2.629425;0.971781;;3.192008;;
1999-03-01;2.894062;6.791337;2.817528;6.675923;;16.299999;;12.745636;6.895603;1.360564;7.193507;6.450067;1.95916;;;2.849431;;5.722984;7.737708;16.53195;10.038268;55.5385479428891;21.001362;4.949917;1.062959;0.911045;;3.617609;;
1998-03-01;3.309701;5.908037;2.595871;7.05882;;9.2;;15.290195;6.286901;1.178814;6.290514;5.559206;1.734046;;;3.380751;;4.321188;6.773108;10.434003;13.333045;48.6149882342892;11.549424;4.664844;;0.750701;;4.00065;;
