Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,6.900000,7.537500,6.837500,7.375000,6.290514,7675200
1998-04-01,7.350000,7.437500,7.100000,7.100000,6.055951,6698800
1998-05-01,7.150000,7.375000,7.087500,7.287500,6.215881,5386000
1998-06-01,7.375000,7.475000,7.125000,7.362500,6.303396,4764400
1998-07-01,7.437500,8.250000,7.325000,7.975000,6.827786,2101600
1998-08-01,8.000000,8.137500,7.000000,7.250000,6.207078,5108800
1998-09-01,7.262500,7.312500,6.837500,7.287500,6.261012,11006000
1998-10-01,7.312500,7.975000,6.650000,7.825000,6.722804,5133200
1998-11-01,7.825000,8.237500,7.687500,7.800000,6.701325,3518000
1998-12-01,7.762500,8.250000,7.687500,8.225000,7.091504,8374800
1999-01-01,8.200000,8.562500,7.875000,8.175000,7.048393,7089600
1999-02-01,8.150000,8.312500,7.975000,8.250000,7.113059,5325200
1999-03-01,8.187500,8.375000,7.750000,8.312500,7.193507,4879200
1999-04-01,8.187500,8.812500,7.750000,8.750000,7.572114,3032400
1999-05-01,8.687500,8.775000,8.250000,8.500000,7.355766,12794800
1999-06-01,8.500000,9.125000,8.137500,8.950000,7.772827,8275200
1999-07-01,8.937500,9.750000,8.762500,9.500000,8.250485,9524800
1999-08-01,9.500000,9.500000,9.000000,9.375000,8.141922,2508000
1999-09-01,9.312500,9.375000,8.712500,8.875000,7.733110,3286800
1999-10-01,8.812500,9.062500,8.500000,8.775000,7.645981,3665600
1999-11-01,8.750000,8.975000,8.562500,8.562500,7.460821,4152000
1999-12-01,8.687500,9.750000,8.625000,9.625000,8.415385,4616400
2000-01-01,9.500000,12.500000,9.312500,12.375000,10.819785,22841200
2000-02-01,12.375000,15.500000,12.375000,13.225000,11.562959,22014400
2000-03-01,13.500000,15.000000,9.062500,9.500000,8.343527,21820800
2000-04-01,9.562500,11.250000,9.250000,11.125000,9.770701,12894800
2000-05-01,11.000000,11.125000,10.000000,10.325000,9.068096,13451600
2000-06-01,10.275000,11.012500,10.275000,10.750000,9.501614,14156800
2000-07-01,10.750000,10.812500,9.775000,9.862500,8.717177,11535200
2000-08-01,10.000000,10.525000,8.650000,9.812500,8.672983,27568400
2000-09-01,10.087500,10.087500,8.750000,8.800000,7.836279,13690000
2000-10-01,8.837500,9.125000,7.800000,7.937500,7.068232,8852800
2000-11-01,7.987500,8.062500,6.937500,7.125000,6.344711,16257600
2000-12-01,7.062500,7.375000,5.812500,6.250000,5.611197,14620400
2001-01-01,6.250000,7.312500,6.000000,7.150000,6.419211,13311600
2001-02-01,7.150000,7.900000,6.062500,6.275000,5.633641,17178000
2001-03-01,6.437500,7.062500,5.975000,6.075000,5.506238,11876400
2001-04-01,6.162500,6.562500,6.002500,6.175000,5.596877,9758400
2001-05-01,6.187500,7.000000,6.105000,6.662500,6.038734,12631200
2001-06-01,6.687500,7.062500,6.150000,6.362500,5.766822,11924000
2001-07-01,6.312500,6.450000,5.687500,6.437500,5.834802,24860800
2001-08-01,6.437500,6.612500,5.437500,5.625000,5.098369,12252400
2001-09-01,5.550000,5.712500,4.137500,4.812500,4.408722,9294000
2001-10-01,4.872500,4.925000,3.510000,3.510000,3.215506,16847200
2001-11-01,3.512500,4.497500,3.442500,4.250000,3.893420,12109200
2001-12-01,4.250000,4.840000,4.125000,4.837500,4.461349,11885600
2002-01-01,4.837500,5.375000,4.687500,5.375000,4.957055,9478400
2002-02-01,5.372500,5.375000,4.815000,5.365000,4.947832,12028800
2002-03-01,5.400000,6.035000,5.300000,5.837500,5.383594,7164400
2002-04-01,5.875000,6.250000,5.100000,5.337500,4.922471,9522400
2002-05-01,5.415000,6.000000,5.287500,5.825000,5.372064,5848800
2002-06-01,5.725000,5.782500,4.750000,4.925000,4.542045,9993200
2002-07-01,4.975000,4.975000,4.155000,4.695000,4.329931,5485200
2002-08-01,4.625000,4.775000,4.115000,4.307500,3.972560,10967600
2002-09-01,4.375000,4.625000,2.895000,3.875000,3.573692,21184800
2002-10-01,3.900000,4.250000,3.012500,4.250000,3.919531,32576800
2002-11-01,4.250000,4.622500,3.662500,3.807500,3.511439,20100400
2002-12-01,3.810000,3.987500,3.315000,3.522500,3.267616,11982400
2003-01-01,3.600000,4.375000,3.500000,4.375000,4.058431,19840800
2003-02-01,4.312500,4.662500,4.025000,4.640000,4.304255,33143200
2003-03-01,4.722500,4.722500,3.015000,3.150000,2.922070,32363600
2003-04-01,3.187500,3.737500,3.135000,3.660000,3.395167,18514000
2003-05-01,3.627500,3.750000,3.500000,3.525000,3.269936,14950800
2003-06-01,3.512500,4.300000,3.500000,4.125000,3.826521,16890800
2003-07-01,4.187500,4.562500,4.005000,4.437500,4.116407,9064800
2003-08-01,4.625000,4.737500,4.187500,4.735000,4.392383,10965600
2003-09-01,4.737500,5.937500,4.650000,5.502500,5.104347,21066400
2003-10-01,5.525000,5.925000,5.062500,5.200000,4.823733,22669600
2003-11-01,5.075000,5.500000,5.065000,5.175000,4.800544,5903600
2003-12-01,5.200000,6.005000,5.050000,5.915000,5.486996,8841600
2004-01-01,5.922500,6.907500,5.750000,6.850000,6.354341,10958800
2004-02-01,6.912500,7.175000,6.512500,6.862500,6.365938,9921600
2004-03-01,6.875000,6.940000,5.862500,6.087500,5.647015,12340800
2004-04-01,6.112500,6.375000,5.635000,5.750000,5.333935,8025600
2004-05-01,5.687500,6.725000,5.600000,6.687500,6.203601,6389200
2004-06-01,6.587500,7.185000,6.587500,6.750000,6.261579,8398800
2004-07-01,6.700000,7.062500,6.532500,6.787500,6.296364,8100400
2004-08-01,6.790000,6.960000,6.252500,6.777500,6.287088,15788400
2004-09-01,6.710000,6.762500,6.350000,6.647500,6.168853,5679600
2004-10-01,6.650000,6.862500,6.225000,6.475000,6.008774,8175200
2004-11-01,6.462500,6.732500,6.180000,6.250000,5.799975,14336800
2004-12-01,6.270000,6.472500,6.000000,6.472500,6.006452,7818000
2005-01-01,6.387500,7.237500,6.387500,7.135000,6.621253,11772000
