Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,1.083333,1.287500,1.083333,1.287500,0.750701,19200
1998-04-01,1.287500,1.562500,1.287500,1.520833,0.886751,182400
1998-05-01,1.525000,1.525000,1.458333,1.500000,0.874603,25200
1998-06-01,1.500000,1.500000,1.500000,1.500000,0.874603,24000
1998-07-01,1.500000,1.500000,1.479167,1.479167,0.862456,276000
1998-08-01,1.479167,1.479167,1.250000,1.250000,0.728836,2400
1998-09-01,1.333333,1.333333,1.333333,1.333333,0.777425,1269600
1998-10-01,1.333333,1.333333,1.270833,1.270833,0.740984,66000
1998-11-01,1.270833,1.270833,1.233333,1.250000,0.728836,66000
1998-12-01,1.250000,1.250000,1.229167,1.229167,0.716689,67200
1999-01-01,1.229167,1.437500,1.229167,1.437500,0.838161,1525200
1999-02-01,1.500000,1.508333,1.437500,1.462500,0.852738,608400
1999-03-01,1.462500,1.562500,1.458333,1.562500,0.911045,3216000
1999-04-01,1.562500,1.658333,1.541667,1.541667,0.898898,240600
1999-05-01,1.541667,1.641667,1.541667,1.541667,0.898898,37200
1999-06-01,1.541667,1.641667,1.541667,1.641667,0.957205,3000
1999-07-01,1.641667,1.641667,1.558333,1.558333,0.908615,3000
1999-08-01,1.558333,1.666667,1.558333,1.625000,0.947487,205800
1999-09-01,1.625000,1.683333,1.583333,1.683333,0.981499,79200
1999-10-01,1.683333,1.750000,1.683333,1.750000,1.020370,445200
1999-11-01,1.750000,1.833333,1.750000,1.833333,1.068960,1650000
1999-12-01,1.833333,1.850000,1.758333,1.833333,1.068960,352800
2000-01-01,1.833333,1.858333,1.666667,1.716667,1.000935,1476000
2000-02-01,1.716667,1.833333,1.625000,1.716667,1.000935,3560400
2000-03-01,1.708333,1.833333,1.666667,1.666667,0.971781,882000
2000-04-01,1.666667,1.750000,1.666667,1.708333,0.996076,1092600
2000-05-01,1.708333,1.825000,1.708333,1.791667,1.044665,1038000
2000-06-01,1.791667,1.833333,1.766667,1.833333,1.068960,2591400
2000-07-01,1.833333,2.041667,1.833333,2.016667,1.175855,3690600
2000-08-01,2.000000,2.041667,1.958333,2.000000,1.166138,958800
2000-09-01,2.000000,2.166667,1.916667,2.166667,1.263316,2380800
2000-10-01,2.125000,2.375000,2.000000,2.250000,1.311905,222600
2000-11-01,2.250000,2.541667,2.125000,2.291667,1.336199,58800
2000-12-01,2.333333,2.500000,2.083333,2.500000,1.457672,492000
2001-01-01,2.250000,2.500000,2.175000,2.416667,1.409083,1261800
2001-02-01,2.416667,2.458333,2.333333,2.416667,1.409083,384600
2001-03-01,2.458333,2.891667,2.375000,2.746667,1.601496,2070000
2001-04-01,2.750000,2.916667,2.700000,2.791667,1.627734,889800
