Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,4.093750,4.543750,4.025000,4.531250,1.734046,3408000
1998-04-01,4.712500,5.156250,4.625000,4.687500,1.793841,1870400
1998-05-01,4.687500,4.968750,4.600000,4.875000,1.865595,1464800
1998-06-01,4.875000,4.931250,4.625000,4.700000,1.798625,444800
1998-07-01,4.668750,4.875000,4.656250,4.800000,1.860711,675200
1998-08-01,4.800000,4.800000,4.375000,4.437500,1.720188,306400
1998-09-01,4.187500,4.293750,3.875000,3.918750,1.519096,887200
1998-10-01,3.937500,4.043750,3.750000,4.037500,1.587310,1182400
1998-11-01,4.156250,5.437500,4.156250,4.993750,1.963251,575200
1998-12-01,5.000000,5.425000,5.000000,5.425000,2.158059,616000
1999-01-01,5.425000,5.681250,5.250000,5.250000,2.088443,564800
1999-02-01,5.012500,5.068750,4.968750,4.968750,1.976563,725600
1999-03-01,4.968750,5.056250,4.875000,4.925000,1.959160,604000
1999-04-01,4.906250,4.906250,4.412500,4.593750,1.849725,782400
1999-05-01,4.593750,4.593750,4.062500,4.531250,1.824558,462400
1999-06-01,4.537500,4.956250,4.500000,4.956250,1.995690,285600
1999-07-01,4.993750,5.168750,4.750000,4.875000,1.988288,171200
1999-08-01,4.900000,5.243750,4.900000,4.925000,2.008680,844800
1999-09-01,4.925000,4.925000,4.443750,4.500000,1.857635,746400
1999-10-01,4.500000,4.593750,4.343750,4.437500,1.831834,446400
1999-11-01,4.437500,4.612500,4.156250,4.268750,1.762173,591200
1999-12-01,4.225000,4.437500,4.112500,4.312500,1.780233,2522400
2000-01-01,4.250000,4.312500,3.812500,4.062500,1.700520,4304800
2000-02-01,4.056250,4.406250,3.625000,3.625000,1.517388,3345600
2000-03-01,3.737500,4.000000,3.125000,3.375000,1.412740,4929600
2000-04-01,3.625000,4.062500,3.500000,3.575000,1.519994,3297600
2000-05-01,3.581250,4.000000,3.562500,4.000000,1.700691,1768000
2000-06-01,3.993750,4.250000,3.875000,4.093750,1.740552,3674400
2000-07-01,4.125000,4.125000,3.750000,3.750000,1.617896,3032000
2000-08-01,3.781250,5.131250,3.768750,4.637500,2.000798,6598400
2000-09-01,4.712500,5.156250,4.506250,4.731250,2.086633,3737600
2000-10-01,4.750000,4.843750,4.093750,4.300000,1.896440,2568000
2000-11-01,4.300000,4.500000,3.750000,3.800000,1.675923,8064000
2000-12-01,3.937500,4.625000,3.843750,4.531250,2.045947,4766400
2001-01-01,4.562500,4.918750,4.537500,4.918750,2.220911,2669600
2001-02-01,4.887500,4.931250,4.187500,4.281250,1.933067,6072800
2001-03-01,4.343750,4.750000,4.281250,4.750000,2.190497,4444800
2001-04-01,4.687500,4.781250,4.125000,4.312500,1.988742,4120800
2001-05-01,4.368750,4.500000,4.093750,4.237500,1.954154,3072800
2001-06-01,4.137500,4.875000,4.137500,4.693750,2.164557,5432000
2001-07-01,4.693750,5.187500,4.675000,5.093750,2.394327,3928800
2001-08-01,5.125000,5.700000,5.100000,5.375000,2.526529,6284000
2001-09-01,5.312500,5.656250,5.100000,5.468750,2.623057,4484800
2001-10-01,5.468750,5.700000,5.262500,5.468750,2.623057,5068000
2001-11-01,5.468750,6.425000,5.400000,6.225000,2.985789,5573200
2001-12-01,6.275000,7.125000,6.212500,7.125000,3.483928,10112800
2002-01-01,7.150000,7.500000,6.252500,6.962500,3.404471,6486400
2002-02-01,6.975000,7.737500,6.625000,7.295000,3.567055,3804800
2002-03-01,7.437500,8.250000,7.187500,7.587500,3.710079,4506800
2002-04-01,7.562500,8.312500,7.387500,8.312500,4.094117,5298000
2002-05-01,8.375000,8.562500,7.765000,8.000000,3.940200,1924400
2002-06-01,8.000000,8.375000,7.662500,7.712500,3.798600,4337600
2002-07-01,7.712500,7.712500,6.375000,7.225000,3.583128,20207200
2002-08-01,7.250000,7.390000,6.325000,6.742500,3.343839,3839200
2002-09-01,6.742500,7.125000,6.290000,6.875000,3.461211,3905200
2002-10-01,6.875000,7.027500,6.312500,6.500000,3.272416,5725200
2002-11-01,6.500000,6.650000,5.250000,5.775000,2.907417,11305200
2002-12-01,5.912500,6.250000,5.422500,6.212500,3.182910,5998400
2003-01-01,6.237500,6.437500,5.687500,6.250000,3.202123,4581600
2003-02-01,6.250000,6.250000,5.562500,5.762500,2.952357,4368000
2003-03-01,5.825000,5.825000,5.260000,5.625000,2.932139,4446000
2003-04-01,5.625000,6.337500,5.450000,6.312500,3.290514,6222800
2003-05-01,6.275000,6.542500,6.062500,6.250000,3.257934,7638000
2003-06-01,6.300000,7.037500,6.175000,6.557500,3.418224,9157600
2003-07-01,6.500000,6.987500,6.275000,6.962500,3.684327,4696000
2003-08-01,6.900000,7.150000,6.837500,7.087500,3.750474,4119600
2003-09-01,7.100000,7.125000,6.290000,6.637500,3.572733,5328800
2003-10-01,6.662500,6.937500,6.437500,6.550000,3.525634,6448400
2003-11-01,6.562500,7.250000,6.362500,6.862500,3.693843,7907600
2003-12-01,6.875000,8.125000,6.627500,8.025000,4.395053,10049600
2004-01-01,8.075000,8.075000,7.370000,7.650000,4.189678,6071600
2004-02-01,7.650000,7.825000,7.225000,7.425000,4.066453,5795600
2004-03-01,7.462500,8.287500,7.425000,8.262500,4.596293,4688000
2004-04-01,8.262500,8.585000,7.962500,8.000000,4.450269,6457600
2004-05-01,8.125000,8.275000,7.762500,8.187500,4.554571,4284400
2004-06-01,8.250000,8.250000,7.750000,7.982500,4.440534,8996400
2004-07-01,7.937500,8.175000,7.645000,8.010000,4.523904,4748800
2004-08-01,8.100000,8.100000,7.750000,8.100000,4.574734,7614800
2004-09-01,8.100000,8.472500,7.987500,8.362500,4.814996,16505200
2004-10-01,8.375000,8.625000,8.162500,8.362500,4.814996,7708000
2004-11-01,8.347500,8.745000,8.125000,8.650000,4.980535,8753200
2004-12-01,8.675000,9.237500,8.525000,9.067500,5.313656,5017200
2005-01-01,9.112500,9.187500,8.375000,9.130000,5.350285,9673600
2005-02-01,9.162500,9.585000,9.002500,9.312500,5.457231,7240800
2005-03-01,9.500000,9.500000,8.987500,9.037500,5.384223,8459200
2005-04-01,9.285000,9.290000,8.750000,8.800000,5.242728,6833600
2005-05-01,8.807500,9.487500,8.515000,9.450000,5.629974,9706400
2005-06-01,9.450000,9.475000,9.125000,9.282500,5.530186,7253200
2005-07-01,9.342500,9.937500,9.300000,9.745000,5.902167,4185600
2005-08-01,9.737500,9.737500,8.815000,9.020000,5.463062,6592800
2005-09-01,9.015000,9.640000,8.937500,9.240000,5.707461,7584800
2005-10-01,9.372500,9.552500,8.277500,8.725000,5.389351,7815600
2005-11-01,8.725000,9.022500,8.372500,8.985000,5.549951,7914800
2005-12-01,8.935000,9.030000,8.415000,8.497500,5.357486,10349600
2006-01-01,8.475000,8.685000,8.185000,8.482500,5.348029,9564400
2006-02-01,8.512500,8.892500,8.015000,8.357500,5.269219,11633200
2006-03-01,8.392500,8.622500,8.107500,8.175000,5.154156,15650000
2006-04-01,8.125000,8.765000,8.012500,8.592500,5.536299,14920400
2006-05-01,8.600000,8.637500,8.127500,8.445000,5.441261,8694400
2006-06-01,8.377500,9.107500,8.262500,8.827500,5.687712,16072400
2006-07-01,8.812500,8.972500,8.560000,8.827500,5.687712,5489200
2006-08-01,8.832500,9.647500,8.700000,9.437500,6.207174,9200000
2006-09-01,9.400000,9.450000,8.875000,9.050000,6.080351,6438400
2006-10-01,9.072500,9.485000,8.727500,9.062500,6.088750,5971600
2006-11-01,9.042500,9.600000,8.957500,9.527500,6.401164,10865200
2006-12-01,9.540000,9.612500,9.062500,9.240000,6.208004,6282000
2007-01-01,9.227500,9.602500,9.180000,9.405000,6.455855,9240400
2007-02-01,9.402500,10.837500,9.250000,10.500000,7.207496,17968000
2007-03-01,10.427500,11.597500,10.250000,11.545000,7.924813,21515200
2007-04-01,11.475000,11.697500,10.635000,10.932500,7.640913,13362400
2007-05-01,10.787500,11.080000,10.230000,10.532500,7.361345,15146000
2007-06-01,10.275000,11.185000,10.027500,11.000000,7.688087,30468800
2007-07-01,10.962500,13.375000,10.962500,12.775000,8.928664,17262400
2007-08-01,12.775000,12.925000,12.035000,12.687500,9.028372,12653600
2007-09-01,12.697500,14.375000,12.312500,13.150000,9.542745,15927200
2007-10-01,13.150000,14.632500,12.795000,14.487500,10.513349,11966400
2007-11-01,14.435000,14.610000,12.250000,14.522500,10.538748,24508400
2007-12-01,14.500000,16.495001,13.245000,14.915000,10.823577,16908000
2008-01-01,15.070000,15.350000,12.550000,13.930000,10.189752,14583200
2008-02-01,13.965000,14.195000,12.770000,13.495000,9.871554,10411200
2008-03-01,13.525000,14.275000,12.755000,13.840000,10.123921,12915800
2008-04-01,13.975000,14.925000,13.230000,13.575000,10.023168,8483800
2008-05-01,13.500000,13.950000,12.600000,13.515000,9.978866,10032400
2008-06-01,13.250000,14.595000,13.000000,14.570000,10.757830,11469600
2008-07-01,14.175000,14.455000,12.900000,13.250000,9.783204,9676200
2008-08-01,13.355000,14.020000,13.045000,13.780000,10.265073,8150000
2008-09-01,13.700000,14.280000,12.625000,12.625000,9.404686,13620000
2008-10-01,12.675000,13.445000,10.610000,12.600000,9.481318,13933800
2008-11-01,12.505000,12.765000,10.875000,11.500000,8.653581,11655800
2008-12-01,11.500000,11.665000,10.255000,11.085000,8.341300,12445200
2009-01-01,10.755000,11.225000,9.545000,9.910000,7.553263,14192200
2009-02-01,9.970000,11.170000,9.190000,10.710000,8.163011,31806600
2009-03-01,10.640000,11.105000,9.765000,10.470000,7.980083,15213600
2009-04-01,10.385000,11.695000,10.375000,10.900000,8.424428,10854000
2009-05-01,11.050000,11.545000,10.500000,10.800000,8.347140,9907400
2009-06-01,10.875000,12.410000,10.680000,12.135000,9.378940,14375000
2009-07-01,12.315000,12.500000,11.310000,11.770000,9.096835,13934800
2009-08-01,11.995000,14.000000,11.785000,13.785000,10.783003,12555800
2009-09-01,13.765000,13.800000,12.390000,12.565000,9.828689,13537800
2009-10-01,12.540000,13.520000,12.100000,12.985000,10.267960,14388600
2009-11-01,12.835000,15.240000,12.830000,14.655000,11.588521,16524600
2009-12-01,14.820000,15.550000,14.650000,15.375000,12.157865,12259800
2010-01-01,15.425000,15.500000,14.000000,14.275000,11.395184,12765200
2010-02-01,14.380000,15.325000,14.275000,15.025000,11.993879,12021400
2010-03-01,15.020000,15.365000,14.125000,14.790000,11.806292,17721800
2010-04-01,14.605000,14.880000,14.200000,14.305000,11.529664,15298400
2010-05-01,14.405000,14.745000,13.515000,14.700000,11.848029,12786000
2010-06-01,14.650000,15.375000,14.355000,15.200000,12.251028,11188800
2010-07-01,15.300000,16.475000,15.105000,15.705000,12.658050,8051200
2010-08-01,15.900000,17.150000,15.530000,16.965000,13.799520,12881400
2010-09-01,17.025000,17.850000,17.025000,17.559999,14.283498,15405800
2010-10-01,17.575001,19.775000,17.165001,19.490000,16.004320,12681000
2010-11-01,19.945000,19.945000,18.075001,18.705000,15.359715,12752600
2010-12-01,18.875000,20.125000,17.950001,19.790001,16.250668,12711000
2011-01-01,19.809999,21.115000,19.809999,20.900000,17.308718,9295600
2011-02-01,20.844999,21.020000,19.870001,20.580000,17.043703,8264200
2011-03-01,20.459999,21.924999,20.245001,21.879999,18.120329,11946000
2011-04-01,21.629999,23.525000,20.700001,22.520000,18.795456,10316000
2011-05-01,22.520000,23.820000,21.990000,23.750000,19.822033,8343400
2011-06-01,23.674999,24.525000,22.150000,23.254999,19.408899,10744000
2011-07-01,23.219999,23.875000,22.295000,22.375000,18.674438,6864200
2011-08-01,22.450001,22.495001,18.840000,20.190001,16.966478,17369800
2011-09-01,20.174999,21.299999,17.900000,20.639999,17.344629,20028200
2011-10-01,20.469999,22.105000,19.900000,20.590000,17.476458,13109800
2011-11-01,20.389999,20.815001,18.639999,18.995001,16.122654,12423400
2011-12-01,18.995001,19.725000,18.655001,19.514999,16.564020,22630800
2012-01-01,19.655001,20.660000,18.865000,20.420000,17.504269,13558400
2012-02-01,20.445000,20.905001,20.070000,20.520000,17.589989,9529600
2012-03-01,20.379999,21.975000,20.129999,21.605000,18.520063,18404000
2012-04-01,21.549999,23.180000,21.330000,23.084999,19.973677,14136000
2012-05-01,23.129999,23.129999,20.844999,21.400000,18.515778,9995600
2012-06-01,21.455000,21.625000,20.195000,21.165001,18.312450,9780800
2012-07-01,21.395000,22.400000,21.110001,21.365000,18.485495,10291200
