Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,11.433330,12.333330,9.920000,12.333330,9.092862,3769200
2002-08-01,12.413330,12.416670,10.636670,11.033330,8.134427,4534500
2002-09-01,11.033330,11.666670,10.450000,11.396670,8.466974,3944700
2002-10-01,11.333330,12.170000,10.333330,11.983330,8.902821,5766900
2002-11-01,11.816670,12.000000,11.003330,11.330000,8.417444,6070800
2002-12-01,11.416670,11.983330,10.003330,11.350000,8.499998,4524300
2003-01-01,11.500000,11.816670,11.016670,11.380000,8.522469,3753300
2003-02-01,11.466670,11.466670,10.816670,10.900000,8.162993,2660100
2003-03-01,10.833330,11.746670,9.673330,11.283330,8.450071,8430600
2003-04-01,11.166670,11.833330,11.066670,11.566670,8.740772,2756700
2003-05-01,11.566670,13.330000,11.516670,13.283330,10.038030,8139000
2003-06-01,13.283330,13.490000,12.780000,13.336670,10.078335,7962600
2003-07-01,13.216670,13.273330,12.420000,12.733330,9.622400,6743700
2003-08-01,12.833330,14.250000,12.320000,14.250000,10.768532,4968900
2003-09-01,14.333330,15.000000,14.010000,14.516670,11.052945,5340900
2003-10-01,14.366670,15.700000,14.330000,15.500000,11.801648,4326000
2003-11-01,15.333330,16.166670,15.333330,16.003330,12.184882,7543800
2003-12-01,16.059999,17.333330,15.810000,17.000000,13.025237,4348200
2004-01-01,16.900000,17.066669,15.383330,16.366671,12.539983,5805900
2004-02-01,16.366671,16.673330,15.833330,16.216669,12.425056,3845700
2004-03-01,16.216669,16.333330,14.166670,16.000000,12.259048,8011500
2004-04-01,16.133329,16.650000,15.666670,16.133329,12.469026,3030300
2004-05-01,16.136669,16.570000,15.433330,16.043329,12.399468,2316600
2004-06-01,16.133329,16.666670,15.783330,16.333330,12.727116,3102000
2004-07-01,16.246670,16.750000,15.750000,16.330000,12.724520,3270000
2004-08-01,16.190001,16.700001,15.666670,15.940000,12.420630,2255400
2004-09-01,15.940000,16.330000,15.006670,16.116671,12.662037,2854500
2004-10-01,16.213329,17.966669,16.213329,17.620001,13.843126,6472800
2004-11-01,17.620001,18.483330,17.336670,18.283331,14.364274,3774000
2004-12-01,18.286671,19.820000,17.843330,19.333330,15.301584,3550500
2005-01-01,19.340000,21.183331,18.466669,20.840000,16.494062,3616200
2005-02-01,20.996670,21.040001,19.983330,20.799999,16.462399,5262000
2005-03-01,20.783331,23.663330,20.556669,23.296671,18.438416,6673800
2005-04-01,23.353331,25.500000,22.306669,24.333330,19.393803,5872200
2005-05-01,24.333330,24.826670,21.386669,22.719999,18.107971,5751000
2005-06-01,22.799999,23.500000,21.683331,22.866671,18.357737,4719900
2005-07-01,23.016670,23.453329,22.420000,23.450001,18.826042,3042300
2005-08-01,23.983330,24.496670,22.193331,22.683331,18.210545,6360000
2005-09-01,22.700001,25.830000,22.700001,25.036671,20.240059,5404800
2005-10-01,25.500000,26.463329,23.666670,24.833330,20.075666,4694400
2005-11-01,24.830000,25.930000,24.003330,24.073330,19.461271,4568700
2005-12-01,24.250000,25.719999,23.843330,25.433331,20.693155,4194300
2006-01-01,25.723330,26.833330,25.153330,26.250000,21.357622,6132300
2006-02-01,26.090000,33.333328,26.049999,31.543329,25.664398,9421800
2006-03-01,31.666670,33.500000,30.110001,31.889999,25.946461,7511600
2006-04-01,31.799999,32.799999,31.010000,32.500000,26.500378,4134000
2006-05-01,32.360001,33.150002,26.000000,29.510000,24.062346,10314600
2006-06-01,29.500000,31.500000,28.049999,29.379999,24.009108,5308600
2006-07-01,29.250000,30.500000,28.150000,28.510000,23.298147,3607100
2006-08-01,28.510000,30.959999,28.190001,30.490000,24.916195,5075400
2006-09-01,30.309999,31.490000,27.250000,28.760000,23.560118,5633700
