Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,7.875000,8.375000,7.750000,7.950000,4.664844,2995800
1998-04-01,7.925000,8.625000,7.925000,8.225000,4.826206,2268000
1998-05-01,8.250000,8.500000,8.000000,8.350000,4.924174,1712200
1998-06-01,8.000000,8.625000,7.850000,7.875000,4.644056,514600
1998-07-01,7.875000,8.125000,7.300000,7.825000,4.614569,764000
1998-08-01,7.825000,7.825000,6.000000,6.025000,3.572187,411600
1998-09-01,6.000000,6.750000,5.500000,6.025000,3.572187,1551600
1998-10-01,6.075000,6.350000,5.500000,6.250000,3.705588,3185800
1998-11-01,6.300000,6.875000,6.250000,6.350000,3.790144,923200
1998-12-01,6.625000,7.750000,6.250000,7.525000,4.491470,1341200
1999-01-01,7.525000,7.700000,6.500000,6.950000,4.148268,933400
1999-02-01,6.900000,7.175000,6.875000,7.100000,4.259928,1911600
1999-03-01,7.000000,8.500000,6.875000,8.250000,4.949917,981800
1999-04-01,8.300000,8.500000,7.750000,8.250000,4.949917,479800
1999-05-01,8.000000,8.375000,7.750000,8.000000,4.823305,1473800
1999-06-01,8.025000,8.750000,8.000000,8.375000,5.049398,2219600
1999-07-01,8.375000,9.250000,8.375000,9.025000,5.441293,1302000
1999-08-01,9.025000,10.000000,8.925000,9.300000,5.633920,518600
1999-09-01,9.375000,10.450000,9.000000,9.300000,5.633920,1441200
1999-10-01,9.275000,9.600000,8.875000,9.250000,5.603630,347800
1999-11-01,9.250000,10.125000,8.750000,9.050000,5.506218,1097800
1999-12-01,9.000000,9.875000,8.875000,9.500000,5.780005,813800
2000-01-01,9.500000,9.500000,8.300000,8.800000,5.354112,1587388
2000-02-01,8.850000,9.050000,7.875000,8.050000,4.923709,1960128
2000-03-01,8.000000,9.250000,8.000000,8.600000,5.260113,5529558
2000-04-01,8.500000,9.500000,8.250000,8.350000,5.107203,1116042
2000-05-01,8.275000,9.150000,8.200000,8.525000,5.245092,3256690
2000-06-01,8.450000,9.375000,8.225000,8.850000,5.445053,2168642
2000-07-01,8.850000,9.000000,8.500000,8.700000,5.352764,1490180
2000-08-01,8.750000,9.500000,8.700000,9.000000,5.568365,1907874
2000-09-01,9.000000,10.000000,9.000000,9.250000,5.723041,1527930
2000-10-01,9.250000,9.975000,7.525000,8.750000,5.413686,3281146
2000-11-01,8.750000,9.225000,8.375000,8.825000,5.490008,1353758
2000-12-01,8.750000,9.600000,8.500000,8.500000,5.287827,1832084
2001-01-01,8.500000,9.375000,7.675000,8.975000,5.583323,1801824
2001-02-01,8.875000,8.975000,8.125000,8.620000,5.394210,3017544
2001-03-01,8.650000,9.100000,8.500000,9.060000,5.669552,2573612
2001-04-01,9.060000,10.000000,9.060000,9.725000,6.085694,1545326
2001-05-01,9.725000,11.000000,9.700000,10.625000,6.685506,2349722
2001-06-01,10.000000,11.500000,10.000000,11.450000,7.204617,3838798
