Année;3;NA.TO;BCE.TO;CNR.TO;RY.TO;ATDb.TO;GIBa.TO;DOL.TO;BMO.TO;POW.TO;MRU.TO;QBRb.TO;PWF.TO;SAP.TO;IAG.TO;AC.TO;CAE.TO;SNC.TO;PJCa.TO;BBDb.TO;TAP.us;LB.TO;DOO.TO;CCA.TO;TCLa.TO;GIL.TO;RCH.TO;TFII.TO;BLX.TO;WSP.TO;INE.TO;;NA.TO;BCE.TO;CNR.TO;RY.TO;ATDb.TO;GIBa.TO;DOL.TO;BMO.TO;POW.TO;MRU.TO;QBRb.TO;PWF.TO;SAP.TO;IAG.TO;AC.TO;CAE.TO;SNC.TO;PJCa.TO;BBDb.TO;TAP.us;LB.TO;DOO.TO;CCA.TO;TCLa.TO;GIL.TO;RCH.TO;TFII.TO;BLX.TO;WSP.TO;INE.TO
Moyenne;3;15,59%;11,77%;19,64%;14,15%;27,34%;11,14%;40,59%;9,70%;7,95%;19,43%;6,86%;9,19%;17,16%;13,17%;4,53%;10,27%;13,48%;9,08%;-2,76%;10,36%;6,47%;1,63%;9,47%;8,81%;20,55%;20,27%;14,82%;8,99%;17,65%;10,56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Écart-type;3;22,23%;41,37%;23,27%;21,29%;45,50%;33,46%;16,15%;29,34%;27,53%;30,05%;36,82%;26,44%;28,81%;34,35%;98,16%;40,80%;26,42%;30,40%;55,24%;24,89%;29,51%;52,24%;31,22%;43,82%;55,59%;25,67%;63,92%;43,28%;15,92%;58,07%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-03-01;3;13,1%;-1,2%;-2,5%;7,4%;-3,4%;19,5%;42,5%;2,0%;-1,5%;2,2%;16,3%;-3,7%;-8,3%;-6,2%;94,0%;19,9%;10,6%;20,0%;83,8%;-20,2%;-14,6%;59,0%;1,5%;6,9%;4,6%;10,4%;9,4%;7,0%;30,0%;-3,6%;; 1,13    ; 0,99    ; 0,98    ; 1,07    ; 0,97    ; 1,19    ; 1,43    ; 1,02    ; 0,99    ; 1,02    ; 1,16    ; 0,96    ; 0,92    ; 0,94    ; 1,94    ; 1,20    ; 1,11    ; 1,20    ; 1,84    ; 0,80    ; 0,85    ; 1,59    ; 1,02    ; 1,07    ; 1,05    ; 1,10    ; 1,09    ; 1,07    ; 1,30    ; 0,96    
2017-03-01;3;39,4%;4,2%;23,2%;34,7%;4,5%;2,7%;21,1%;31,1%;9,2%;-7,8%;20,8%;13,9%;11,4%;51,0%;54,0%;37,8%;12,2%;-2,6%;54,5%;1,6%;28,9%;61,1%;5,2%;24,1%;-8,5%;23,0%;42,9%;37,5%;26,6%;6,0%;; 1,39    ; 1,04    ; 1,23    ; 1,35    ; 1,04    ; 1,03    ; 1,21    ; 1,31    ; 1,09    ; 0,92    ; 1,21    ; 1,14    ; 1,11    ; 1,51    ; 1,54    ; 1,38    ; 1,12    ; 0,97    ; 1,55    ; 1,02    ; 1,29    ; 1,61    ; 1,05    ; 1,24    ; 0,91    ; 1,23    ; 1,43    ; 1,37    ; 1,27    ; 1,06    
2016-03-01;3;-3,7%;15,8%;-2,7%;2,4%;15,0%;15,5%;29,7%;10,0%;-7,0%;33,0%;1,1%;-9,6%;21,6%;-4,8%;-27,7%;4,0%;23,6%;-16,8%;-47,2%;31,3%;6,7%;-19,9%;4,2%;22,4%;7,0%;10,4%;-23,6%;27,1%;-4,9%;33,3%;; 0,96    ; 1,16    ; 0,97    ; 1,02    ; 1,15    ; 1,16    ; 1,30    ; 1,10    ; 0,93    ; 1,33    ; 1,01    ; 0,90    ; 1,22    ; 0,95    ; 0,72    ; 1,04    ; 1,24    ; 0,83    ; 0,53    ; 1,31    ; 1,07    ; 0,80    ; 1,04    ; 1,22    ; 1,07    ; 1,10    ; 0,76    ; 1,27    ; 0,95    ; 1,33    
2015-03-01;3;8,7%;18,4%;38,5%;8,6%;69,6%;57,4%;70,1%;8,1%;15,1%;65,3%;25,9%;14,1%;27,9%;-4,5%;124,1%;3,4%;-17,0%;26,0%;-37,5%;29,2%;5,5%;-16,2%;20,1%;14,0%;36,0%;34,0%;30,5%;6,2%;22,4%;18,9%;; 1,09    ; 1,18    ; 1,39    ; 1,09    ; 1,70    ; 1,57    ; 1,70    ; 1,08    ; 1,15    ; 1,65    ; 1,26    ; 1,14    ; 1,28    ; 0,96    ; 2,24    ; 1,03    ; 0,83    ; 1,26    ; 0,62    ; 1,29    ; 1,06    ; 0,84    ; 1,20    ; 1,14    ; 1,36    ; 1,34    ; 1,30    ; 1,06    ; 1,22    ; 1,19    
2014-03-01;3;29,5%;5,6%;25,2%;23,8%;64,3%;23,6%;31,0%;21,1%;15,2%;6,9%;26,0%;19,5%;12,0%;24,5%;82,5%;49,3%;16,2%;40,6%;4,2%;23,4%;13,5%;37,2%;28,6%;32,5%;39,6%;28,8%;10,1%;23,3%;;10,0%;; 1,30    ; 1,06    ; 1,25    ; 1,24    ; 1,64    ; 1,24    ; 1,31    ; 1,21    ; 1,15    ; 1,07    ; 1,26    ; 1,19    ; 1,12    ; 1,24    ; 1,83    ; 1,49    ; 1,16    ; 1,41    ; 1,04    ; 1,23    ; 1,14    ; 1,37    ; 1,29    ; 1,33    ; 1,40    ; 1,29    ; 1,10    ; 1,23    ;  ; 1,10    
2013-03-01;3;2,2%;25,2%;33,5%;10,3%;67,7%;24,2%;42,3%;13,1%;8,3%;25,3%;12,5%;7,5%;25,0%;26,6%;222,3%;-1,2%;8,9%;14,4%;0,0%;12,3%;-1,3%;0,0%;-10,6%;7,1%;50,8%;36,3%;34,1%;30,7%;;-2,8%;; 1,02    ; 1,25    ; 1,34    ; 1,10    ; 1,68    ; 1,24    ; 1,42    ; 1,13    ; 1,08    ; 1,25    ; 1,12    ; 1,08    ; 1,25    ; 1,27    ; 3,22    ; 0,99    ; 1,09    ; 1,14    ; 1,00    ; 1,12    ; 0,99    ; 1,00    ; 0,89    ; 1,07    ; 1,51    ; 1,36    ; 1,34    ; 1,31    ;  ; 0,97    
2012-03-01;3;8,8%;19,7%;12,3%;0,3%;28,5%;9,3%;58,8%;-1,4%;-3,6%;21,0%;11,6%;-1,7%;2,2%;-24,5%;-61,6%;-19,4%;-26,6%;40,3%;-40,8%;-1,3%;-5,0%;-40,8%;18,5%;-13,4%;-11,7%;4,9%;22,0%;-3,6%;;16,5%;; 1,09    ; 1,20    ; 1,12    ; 1,00    ; 1,28    ; 1,09    ; 1,59    ; 0,99    ; 0,96    ; 1,21    ; 1,12    ; 0,98    ; 1,02    ; 0,75    ; 0,38    ; 0,81    ; 0,73    ; 1,40    ; 0,59    ; 0,99    ; 0,95    ; 0,59    ; 1,18    ; 0,87    ; 0,88    ; 1,05    ; 1,22    ; 0,96    ;  ; 1,16    
2011-03-01;3;37,9%;24,6%;22,8%;4,6%;39,1%;33,8%;35,4%;6,9%;-2,3%;15,1%;0,9%;-1,9%;53,5%;22,8%;10,4%;31,6%;12,9%;5,8%;16,7%;14,3%;21,3%;16,7%;10,8%;12,8%;19,7%;35,9%;48,2%;-20,4%;;23,8%;; 1,38    ; 1,25    ; 1,23    ; 1,05    ; 1,39    ; 1,34    ; 1,35    ; 1,07    ; 0,98    ; 1,15    ; 1,01    ; 0,98    ; 1,53    ; 1,23    ; 1,10    ; 1,32    ; 1,13    ; 1,06    ; 1,17    ; 1,14    ; 1,21    ; 1,17    ; 1,11    ; 1,13    ; 1,20    ; 1,36    ; 1,48    ; 0,80    ;  ; 1,24    
